企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
灵璧县五金交电化工公司,91341323152542511B,1980-01-01,N/A,卓之焕,"378(万元)","五金、家电、交电化工、烟酒、食品销售",安徽,宿州,"安徽省宿州市灵城东关"
阜阳市颍州区大田供销合作社大田生资门市部,91341200MA2N73BG9X,1980-01-04,集体经营单位(非法人),刘景芝,"N/A","化肥，农膜，农机具，农药机械的零售。",安徽,阜阳,"安徽省阜阳市颍州区大田集"
六安市金安区百货公司,913415021529805113,1980-02-01,N/A,喻卫平,"164.9000(万元)","百货、针纺织品、五金交电、日杂。",安徽,六安,"安徽省六安市皖西路52号"
淮南矿务局救护大队多种经营公司,91340400150232392X,1980-03-01,N/A,张杰,"36(万元)","氢氧化钙；可燃气体报警器、消防器材及维修；工矿配件。",安徽,淮南,"安徽省淮南市蔡家岗"
阜阳市鼎铭汽车配件制造有限公司,91341200711786003B,1980-03-05,有限责任公司,刘新强,"1400万人民币","汽车配件、农业机械及配件生产、销售。",安徽,阜阳,"安徽省阜阳市颍泉区中市办事处（工业园区）繁华路355号"
淮南市毛集供销合作社,91340400150463289G,1980-03-09,集体所有制,李斌,"35万人民币","百货、针纺织品、五金交电、文教用品、化肥、中小农具、农药、棉麻、废旧物资收购、畜产品收购。",安徽,淮南,"安徽省淮南市毛集镇街上"
舒城县工商行政管理局城关劳动服务公司,91341523MA2NXX6R0Y,1980-03-20,N/A,万仕平,"12(万元)","代客交易水产、家禽、蔬菜、木竹、干鲜水果、副食品，饮食、商品信息服务。",安徽,六安,"安徽省六安市舒城县城关镇"
阜阳市王店机械厂,91341200744858667J,1980-03-20,集体所有制,肖立,"48.8万人民币","金属铸、锻加工（不含地条钢生产），有色金属合金铸造，中小型农机具，泡沫塑料制品（不含一次性发泡塑料餐饮具）的生产、销售；农副产品",安徽,阜阳,"安徽省阜阳市颍州区王店镇"
太湖县食品公司,91340825154034289T,1980-04-01,N/A,吴哲明,"15.4000(万元)","猪、禽、蛋购、销、调；房屋租赁。",安徽,安庆,"太湖县晋熙镇建设路532号"
安徽省地质矿产局三二六地质队劳动服务公司,9134082205148819XQ,1980-04-01,N/A,童宏鑫,"30(万元)","百货、五金交电、针纺织品、日用杂品（除危险化学品）、建筑材料零售",安徽,安庆,"安徽省安庆市怀宁县月山镇月山东大道158号"
肥西县花岗供销合作社新仓分社,91340123MA2N1GM78J,1980-04-02,集体所有制,吴兆留,"40万人民币","日用百货、磷肥、农药、农膜、家用电器、化妆品、鞋类、五金交电、建材、食盐、农具、农副产品。农副产品收购。棉花、图书、文具、服装、家具。",安徽,合肥,"安徽省合肥市肥西县新仓"
肥西县三河供销合作社,91340123149345947T,1980-04-15,集体所有制,曹自成,"1080万人民币","纺织品、百货、五金交电、化工",安徽,合肥,"安徽省合肥市肥西县三河镇南街６５８号"
肥西县官亭供销合作社,913401231493420687,1980-04-20,集体所有制,郭传忠,"100万人民币","百货、针纺织品、文化用品、五金交电、化工原料",安徽,合肥,"安徽省合肥市肥西县官亭镇"
太湖县百货有限公司新城商厦,91340825MA2N6EMU8G,1980-05-01,N/A,石华茂,"N/A","百货、针纺织品、五金交电、文体用品、民用建材、日杂零售；房屋出租。",安徽,安庆,"安徽省安庆市太湖县新城建设路"
安徽省肥西县医药公司,91340123149345103W,1980-05-01,N/A,夏登道,"4,160(万元)","中成药、化学药制剂、抗生素、化学原料药、生化药品、中药材、中药饮片、生物制品批发；医疗器械一、二、三类、保健食品、预包装食品、化妆品、日用百货、洗涤用品、保健用品、消毒用品、五金交电、针纺织品、床上用品、服装鞋帽、计算机软硬件及耗材、通讯器材、文体用品、办公用品、化工原料及产品（除危险品）、农副产品（除棉、粮、油）、电子产品、土特产品销售；道路货物运输；仓储服务",安徽,合肥,"安徽省合肥市经开区桃花工业园工投立恒工业广场二期B-11西1-3层"
安徽晋煤金龙源化工有限公司,913401231493410304,1980-05-01,N/A,宋同发,"2,077(万元)","氮肥制造与销售；复混肥料、有机肥料制造与销售；液体无水氨（许可证有效期至2014年8月13日），无机酸、无机盐、无机碱、有机化学原料制造与销售；化工机械设计、制造与销售；化工技术咨询服务；液氨、甲醇、氢、液体二氧化碳制造与销售",安徽,合肥,"安徽省合肥市肥西县上派镇派河路139号"
合肥市肥西盐业有限公司,9134012314934010X9,1980-05-01,N/A,许峰,"100(万元)","食盐、工业用盐、盐制品销售和储运（许可证有效期至2011年12月有24日）；百货、预包装食品（许可证有效期至2013年9月1日）、文化办公用品、包装材料、工艺品、化工原料及产品（除危险品）、五金交电、电子产品、通讯器材（除卫星天线）、通信设备、通讯设备",安徽,合肥,"安徽省合肥市肥西县上派镇珍珠路合肥市肥西盐业有限公司"
肥西县馆驿粮油加工厂,913401231493447768,1980-05-05,集体所有制,侯敏,"50万人民币","食用植物油",安徽,合肥,"安徽省合肥市肥西县馆驿街"
合肥市经济技术开发区临湖社区四十井供销合作社,9134010014934563XJ,1980-05-05,集体所有制,黄先文,"50万人民币","日用百货、日用杂品、农业生产资料、化磷肥、针织棉布、五金交电销售；农副产品收购；废旧物资回收。",安徽,合肥,"安徽省合肥市经济技术开发区临湖社区四十井供销合作社"
安徽省巢湖市华亚建筑有限责任公司,91340181153627875M,1980-05-08,N/A,吴忠岑,"2,000(万元)","许可经营项目：无。一般经营项目：房屋建筑安装工程，仿古建筑及修缮工程，园林绿化工程，室内外装修工程，市政、道路、桥梁工程，土石方、地基与基础工程施工；建筑机械设备、脚手架租赁；门窗制作安装",安徽,合肥,"安徽省巢湖市人民路497号"
舒城县山七供销社,91341523153151504A,1980-05-20,集体所有制,徐德友,"80万人民币","日用百货、针纺织品、五金交电、化工产品",安徽,六安,"安徽省六安市舒城县山七镇"
舒城县阙店供销社,913415231531790803,1980-05-20,集体所有制,郑贤祥,"57万人民币","日用百货、日用杂品、针纺织品、服装鞋帽、烟酒糖果、五金交电、文体用品、化肥、农药",安徽,六安,"安徽省六安市舒城县阙店乡"
舒城县晓天供销社,913415231531477919,1980-05-20,集体所有制,贾世林,"130.5万人民币","日用百货、针纺织品、五金交电、家用电器、润滑油、建筑材料（不含危化品）、农机具、化肥、农药、农膜批发零售，农副产品、中药材",安徽,六安,"安徽省六安市舒城县晓天镇"
怀宁县华轻供销公司,91340822153860327H,1980-06-01,N/A,潘启平,"88(万元)","百货，针纺织品，五金交电，化工产品",安徽,安庆,"安徽省安庆市石牌镇建新路43号"
淮南鑫达实业有限责任公司,913404001502312341,1980-06-03,N/A,杨波,"2,379.7000(万元)","煤炭批发经营，养殖、农副产品、饮食服务（限分支机构经营）、烟酒百货（限分支机构经营）、服装，工矿用品、矿用金属构件产品的生产与销售，普通货运，车辆修理，机电设备加工、维修，建材、化工产品、氢氧化钙（不含危险化学品及监控类产品）、消防器材、生产资料（国家专控专营的除外）的销售、煤矸石加工与销售，室内装璜，建筑施工，水电安装，钙基固（脱）硫剂生产、销售，糕点类食品制售",安徽,淮南,"安徽省淮南市谢家集区谢一矿"
怀宁县茶岭建筑安装工程有限公司,91340822153860271E,1980-08-01,N/A,汪旭辉,"2,000(万元)","房屋建筑工程施工总承包叁级",安徽,安庆,"安徽省安庆市怀宁县茶岭镇万福村"
淮南市金玉工贸公司,91340405150380352W,1980-09-06,N/A,牛广宣,"61.4000(万元)","建材、工矿配件、木材销售，百货、土产日杂、五金交电零售，房屋、汽车租赁，停车场服务。",安徽,淮南,"安徽省淮南市八公山区土坝孜"
安庆市第二建筑安装工程公司,91340800151309136H,1980-10-14,N/A,丁德政,"2,000(万元)","房屋建筑工程施工总承包贰级；建筑装修装饰工程专业承包贰级；起重设备安装工程专业承包叁级；古建筑工程专业承包叁级；环保工程专业承包叁级。",安徽,安庆,"安徽省安庆市集贤路46号"
安徽六建建设集团有限公司,9134030014986216XA,1980-12-02,N/A,王亮,"10,100(万元)","房屋建筑工程施工总承包：建筑装修装饰工程、市政公用工程、园林绿化工程、钢结构工程、建筑幕墙工程、消防设施工程、水利水电工程的施工；建筑劳务分包；铝合金、塑钢门窗制作；模板脚手架搭设。",安徽,蚌埠,"安徽省蚌埠市国治街178号(凤阳路一小对面)"
