企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
中国农业银行股份有限公司凤山县支行,91451223901013204M,1980-01-01,N/A,杨斌,"N/A","吸收公众存款；发放短期、中期、长期贷款；办理国内外结算；办理票据承兑与贴现；代理发行、代理兑付、销售政府债券；代理发行金融债券；从事银行卡业务；代理收付款项；保险兼业代理业务；代理资金清算；各类汇兑业务；贷款承诺、组织或参加银团贷款；资信调查、咨询、见证服务；企业、个人财务顾问服务；企业年金托管业务；代理基金销售业务；电话银行、手机银行、网上银行业务；经中国银行业监督管理委员会、中国人民银行及其他有权部门或有权上级行授权开办的其他业务。",广西,河池,"凤城镇凤阳街47号"
东兰县长乐供销合作社花香分社,91451224MA5KQC1D1C,1980-01-01,集体分支机构(非法人),吴文权,"N/A","日用百货（烟花爆竹除外）、针纺织品、五金交电、农业生产资料",广西,河池,"长乐镇花香街"
中国人民财产保险股份有限公司东兰支公司,914512247087257794,1980-01-01,N/A,韦家斌,"N/A","财产保险业务",广西,河池,"东兰镇五峰路三巷44号"
乐业县农业生产资料公司,91451028708712134G,1980-01-01,N/A,陈善帮,"40(万)","化肥、农药、农膜、农药器械、铁制农具、竹木农具零售。",广西,百色,"乐业县同乐镇三乐街"
荔浦县茶城供销合作社,91450331MA5KRA4392,1980-01-01,集体所有制,吕高才,"20万人民币","百货、日杂、五金交电、农产品、文具的批发、零售；农药",广西,桂林,"荔浦县茶城乡茶城街"
中国农业银行股份有限公司北海云南路支行,914505008993065921,1980-02-01,N/A,蔡京,"N/A","按《金融机构营业许可证》核定范围经营；保险代理业务",广西,北海,"市北海大道与云南路交界处的海岸名都(东方夏威夷大厦第一层C号)"
广西大安建筑工程有限公司,91451323199860410R,1980-03-10,N/A,唐云虎,"635.8000(万)","建筑施工",广西,来宾,"武宣县武宣镇城北路91号"
广西壮族自治区象州县象州供销合作社,91451322199840524Y,1980-05-05,集体所有制,甘宁,"23万人民币","农业生产资料",广西,来宾,"象州镇建新路"
广西壮族自治区象州县寺村供销合作社,91451322199840911B,1980-05-08,集体所有制,覃国富,"187万人民币","百货、针纺织品、五金交电、化工产品、农具、农副产品、日杂、文具、化肥、危险化学品农药类",广西,来宾,"象州县寺村镇商贸街１６号"
靖西市果品食杂公司,914510252007206001,1980-06-16,N/A,许朝亿,"486.3000(万)","糖、酒、小食品、调味品、饮料、干鲜酸果品、果脯蜜饯销售（分支机构经营）；日用百货、日用化学品",广西,百色,"靖西市新靖镇新生街294号"
扶绥县渌井铅锌矿有限公司,91451421199650755R,1980-06-23,N/A,张宏群,"183(万)","铅锌矿采选；有色金属矿销售。",广西,崇左,"扶绥县中东镇新灵村"
广西壮族自治区南宁地区通用机械厂,91451421199650077A,1980-06-23,国有企业,韦志兰,"216.8万人民币","水工设备金属结构产品、农机制造及配件、起重机械、糖机设备及配件、炉具产品。",广西,崇左,"扶绥县岜围"
广西华力集团有限公司,91450200198588603W,1980-06-30,N/A,刘容在,"1,500(万)","工程机械及配件、汽车空调器、汽车减振器、各种汽车零部件及其他机电产品的设计、制造和销售；自有门面出租；立体车库的设计、制造、销售、安装、调试、改造、维修；厂房租赁，生产设备租赁，办公设备租赁；标准件、五金交电、钢材的销售。",广西,柳州,"柳州市阳和工业新区阳旭路9号"
靖西市土产日杂公司城西烟花爆竹经营部,91451025699878203E,1980-07-05,N/A,谢丽开,"N/A","日用杂品、烟花爆竹、日用百货、布、针织品、五金工具、建筑五金、陶瓷制品、炊事用具。",广西,百色,"靖西市新靖镇城西路"
靖西市土产日杂公司土产日杂商场,91451025MA5KTX5E9B,1980-07-05,N/A,冯嫔,"N/A","日用杂品(烟花爆竹除外)、陶瓷制品、家用棉麻制品、自行车及零配件、建筑五金、水暖管道、家具电器、电子元件、电子器件、铁铲、犁头、锄头、建筑材料、针纺织品、百货文化用品、工艺美术品、服装鞋帽。",广西,百色,"靖西市新靖镇人民街"
靖西市土产日杂公司棉胎加工场,91451025MA5KTXEE65,1980-07-05,N/A,莫冠贞,"N/A","棉花被、褥胎、非食用植物油、原生中草药、柳(荆)条制品加工、赛绦龙、枕芯。",广西,百色,"靖西市新靖镇新生街"
靖西市土产日杂公司综合门市部,91451025MA5KTXWW89,1980-07-05,N/A,陈佩英,"N/A","日用杂品",广西,百色,"靖西市新靖镇新生街"
靖西市土产日杂公司城南收购门市部,91451025MA5KTXNA0U,1980-07-05,N/A,丁辉,"N/A","废旧物资(除国家专控产品外)、三七收购、销售。",广西,百色,"靖西市新靖镇城西路"
靖西市土产日杂公司那塘汽车维修中心,91451025MA5KU1XJ6U,1980-07-05,N/A,韦宏丹,"N/A","沥清、汽车零部件、轮胎销售；汽车、农用车维修；停车服务。",广西,百色,"靖西市新靖镇那塘"
都安瑶族自治县菁盛乡供销合作社,91451228MA5KQCD525,1980-07-10,集体所有制,蓝明繁,"83万人民币","百货、针织品、棉纺织品、五金交电、日用杂品批发、零售；化肥、农膜、农业生产具器零售；农副产品零售、收购；原生中草药收购。",广西,河池,"都安瑶族自治县菁盛乡菁盛街"
都安瑶族自治县百旺乡供销合作社,91451228MA5KQCD44A,1980-07-10,集体所有制,韦振师,"98.1万人民币","百货、五金交电、文具、体育用品、日杂、针纺织品批发、零售；化肥、农膜、农具、农机配件、普通建筑材料、钢材零售；农副产品加工。",广西,河池,"都安瑶族自治县百旺乡百旺街"
都安瑶族自治县下坳乡供销合作社,91451228MA5KQCCL7E,1980-07-10,集体所有制,卢安刚,"156万人民币","百货、五金、日用杂品、针纺织品、服装、鞋类、饲料、建材、液化气炉及其配件、中小农具、化肥、农膜批发、零售；理发服务。",广西,河池,"都安瑶族自治县下坳乡下坳街"
南宁市城北区五金制品厂,914501071984019846,1980-08-27,集体所有制,李乐劳,"3.5万人民币","铁门，铁床，灰机。",广西,南宁,"衡阳西路北一巷3号"
靖西市第一建筑公司,91451025200720977Y,1980-09-09,N/A,陈振含,"659(万)","房屋建筑工程施工总承包叁级",广西,百色,"靖西市新靖镇城东路城中一小区179号"
广西壮族自治区扶绥县建筑工程公司,91451421199650288R,1980-10-11,N/A,甘定体,"602(万人民币元)","土木工程、建筑（三级）、水泥制品、水电安装",广西,崇左,"扶绥县新宁镇同正街"
防城港市防城区第二建筑工程公司,9145060320118239XD,1980-10-15,N/A,杨国澄,"650(万元人民币)","土木工程建筑［三级］，水电安装，房屋租赁服务。",广西,防城港,"防城港市防城区教育路250号"
北海市乡镇企业供销公司,91450500MA5KHD1P38,1980-11-04,N/A,许其祥,"42(万元人民币)","钢材、橡胶及制品、机电产品（除进口汽车、小轿车）、农副产品、矿产品（国家政策允许部分）、润滑油",广西,北海,"市北部湾东路18号"
广西壮族自治区象州县大乐供销社,91451322199841332M,1980-11-10,集体所有制,潘茂生,"137万人民币","百货、针纺织品、五金交电、化工产品、农膜、农具、农副产品、建筑材料、化肥、危险化学品农药类（剧毒品除外，限分支零售）",广西,来宾,"象州县大乐镇大乐街"
防城港市农业生产资料公司新楼批零部,91450603901180897N,1980-11-20,N/A,曾燕,"N/A","化肥，农膜，农药",广西,防城港,"防城镇防钦路"
都安瑶族自治县建筑工程公司,91451228201070902Q,1980-11-25,N/A,赖忠,"601(万)","房屋建筑工程施工总承包叁级；市政公用工程施工总承包；水利水电工程施工总承包；建筑装饰装修专业承包；消防设施工程专业承包；建筑机电安装工程专业承包；模板脚手架专业承包。",广西,河池,"广西河池市都安瑶族自治县安阳镇民和街２０４号"
