企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
中国农业银行股份有限公司云和县支行,913311251484801000,1980-01-01,N/A,阙玉宏,"N/A","存、贷、汇等结算业务",浙江,丽水,"浙江省丽水市云和县凤凰山街道中山路162号"
玉环县东海石化设备制造厂,91331021148340431N,1980-01-01,股份合作制,郑霖星,"800万人民币","净化过滤器、密封垫片、波纹补偿器、管道阀兰人孔、石油机械配件、冶金机械配件制造；货物进出口、技术进出口。",浙江,台州,"玉环市玉城街道下陡门"
中国农业银行股份有限公司建德市支行,91330182843963542R,1980-01-01,N/A,汪维明,"N/A","经营中国银行业监督管理委员会依照有关法律、行政法规和其他规定批准的业务，经营范围以批准文件所列为准。",浙江,杭州,"浙江省杭州市建德市新安江街道盛德国际广场3幢"
余姚市余姚镇电器配件厂,913302817172077119,1980-01-01,股份合作制,蒋建华,"7万人民币","电器配件，冲件制造、加工。",浙江,宁波,"余姚市东南街道白山头村"
浙江新兴工贸有限责任公司,91330523142911328A,1980-01-01,N/A,胡朝阳,"968.2613(万元人民币)","服装、箱包、节能灯、五金制造，销售；膨润土加工，销售；蔬菜、水果种植。以下限分支机构经营：苗木种植、销售；水产养殖、销售；畜禽养殖、销售；精制茶、初制茶加工、销售；机动车驾驶员培训；住宿服务；机动车维修；汽车、摩托车、农机、五金配件销售；货物运输。",浙江,湖州,"浙江省安吉县天子湖镇南湖林场北林场场部"
桐乡市乌镇供销社农友连锁生产资料商店西浜综合服务站,913304837976189152,1980-01-01,N/A,潘明明,"N/A","农业生产资料、化肥、农药",浙江,嘉兴,"乌镇镇西浜村"
中国农业银行股份有限公司余姚市支行,91330281144619507F,1980-01-01,N/A,王仲辉,"N/A","吸收公众存款；发放短期、中期、长期贷款；办理国内外结算；办理票据承兑与贴现；代理发行、代理兑付、承销政府债券；买卖政府债券；结汇、售汇；从事银行卡业务；提供信用证服务及担保；代理收付款项；提供保管箱服务；代理资金清算；各类汇兑业务；代理政策性银行、外国政府和国际金融机构贷款业务；贷款承诺；组织或参加银团贷款；外汇存款；外汇贷款；外汇汇款；外汇票据承兑和贴现；代客外汇买卖；外币兑换；资信调查、咨询、见证业务；企业、个人财务顾问服务；证券公司客户交易结算资金存管业务；证券投资基金托管业务；企业年金托管业务；产业投资基金托管业务；代理开放式基金业务；电话银行、手机银行、网上银行业务；金融衍生产品交易业务；办理黄金买卖业务、代客外汇理财业务；企业财产保险、家庭财产保险、建筑工程保险、安装工程保险、货物运输保险、机动车辆保险、船舶保险、意外伤害保险、人寿保险、健康保险",浙江,宁波,"余姚市南滨江路238号"
余姚市市政工程有限公司,91330281713337287P,1980-01-01,有限责任公司,邵纪泉,"2505.6833万人民币","市政公用工程施工总承包贰级，水泥预制构件加工",浙江,宁波,"浙江省余姚市舜水南路37号"
岱山县通达密封件有限公司,91330921148802747R,1980-01-05,N/A,乐松豪,"30(万元人民币)","密封件制造、销售。",浙江,舟山,"岱山县东沙镇江窑湖村"
岱山县岱西塑料彩印厂,913309211488033441,1980-01-05,集体企业,毛国年,"12.6万人民币","一般经营项目：其他类印刷",浙江,舟山,"岱山县岱西镇塘角"
