企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
中国农业银行股份有限公司湘阴城北分理处,91430624886413030X,1980-01-01,N/A,N/A,"N/A","吸收公众存款；发放短期、中期、长期贷款；办理国内外结算；办理票据承兑与贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事同业拆借；买卖、代理买卖外汇；结汇、售汇；从事银行卡业务；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务；代理资金清算；各类汇兑业务；代理政策性银行、外国政府和国际金融机构贷款业务；贷款承诺；组织或参加银团贷款；外汇存款；外汇贷款；外汇汇款；外汇借款；发行、代理发行、买卖或代理买卖股票以外的外币有价证券；外汇票据承兑和贴现；自营、代客外汇买卖；外币兑换；外汇担保；资信调查、咨询、见证业务；企业、个人财务顾问服务；证券公司客户交易结算资金存管业务；证券投资基金托管业务；企业年金托管业务；产业投资基金托管业务；合格境外机构投资者境内证券投资托管业务；代理开放式基金业务；电话银行、手机银行、网上银行业务；金融衍生产品交易业务；经国务院银行业监督管理机构等监管部门批准的其他业务。",湖南,岳阳,"湘阴县文星镇新世纪大道中路湘水芙蓉大楼一楼"
花垣县民族印刷厂,91433124189681064Q,1980-01-17,国有企业,石常荣,"40万人民币","印刷品；雕刻；打字；复印；油墨纸张；五金交电；装饰材料；文化用品。百货；政策允许的矿产品、钢材、药材的购销。",湖南,湘西,"花垣县花垣镇建设路"
湖南省文化物资公司,914300001837612072,1980-02-01,N/A,樊洪滔,"425(万元人民币)","办公用品及器材、电气机械及器材、仪器仪表、金属材料、化工原料（不含危险品和监控品）、试剂材料、日用百货、纺织品、五金交电、电子计算机及配件、建筑材料、摄录设备、文体用品、文化艺术品、互联网相关数据产品、旅游产品、乐器的销售；音频、视频及舞台设备、多媒体器材的安装、销售；仓储服务",湖南,长沙,"长沙市芙蓉区迎宾路246号鹏程世家大厦101房"
花垣县电视广播传媒公司,91433124189680459N,1980-05-02,N/A,赵景忠,"800(万元人民币)","卫视设施设计安装；广播电视器材，音像设备，五金交电，电器维修；有线电视网络服务。",湖南,湘西,"花垣县花垣镇赶秋路"
益阳市城东恒昌建筑有限公司,914309001871290734,1980-05-07,N/A,陈光佑,"2,660(万元人民币)","建筑工程施工总承包贰级、民用建筑建设；土石方施工；水利、水电工程；市政工程；钢结构工程；装饰装修；预制构件；装卸搬运；房屋、水塔、烟囱拆除。",湖南,益阳,"益阳市高新区益阳大道西255号"
湘潭纺织机械厂有限公司,914303001846945956,1980-05-08,有限责任公司,齐技新,"260万人民币","纺织机械及其配件的制造、销售；机械加工。",湖南,湘潭,"湘潭市岳塘区滴水埠街道向阳村1号"
保靖县自来水公司,91433125189720318C,1980-05-20,N/A,龚明忠,"754(万元人民币)","自来水生产、供应，供水管道安装，自来水器材及零配件零售。 日用百货、针纺织品零售。",湖南,湘西,"湖南省保靖县梅花乡花井村"
保靖县自来水公司门市部,91433125MA4L77M86N,1980-05-20,N/A,黄家宇,"N/A","自来水器材及零配件、日用百货零售。",湖南,湘西,"保靖县迁陵镇政新路"
洪江市安江自来水公司,914312811890812619,1980-05-28,N/A,姜春华,"613(万元人民币)","自来水；材料出租； 安装、修理、让售给排水器材、消防器材及配件、出售、出租水表，房屋及场地出租，校表、检定。",湖南,怀化,"洪江市安江镇红心街"
洪江市第一木材公司,9143128118908039XH,1980-05-28,N/A,王建,"803(万元人民币)","木材、楠竹及成品、半成品的收购、加工、销售；水陆运输；铁路代运服务；房屋场地出租；造林、森林管护及柑桔种植；果品销售。 柑桔、水果铁路代运服务，水陆运输，房屋场地出租。",湖南,怀化,"洪江市黔城镇"
