企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
建昌县房产管理处住宅建筑公司,91211422123510422P,1980-01-01,N/A,刘占海,"681(万元人民币)","房屋建筑工程施工总承包叁级。空白。空白。",辽宁,葫芦岛,"建昌县建昌镇建凌街"
大连海运(集团)海运服务公司,912102021184174421,1980-01-01,N/A,苗丰彬,"256(万元人民币)","气胀式救生筏检修服装洗涤汽车货运集装箱修理",辽宁,大连,"辽宁省大连市中山区葵英街新建巷2号"
大连铁路分局装卸机具厂配件分厂,9121020411851850XW,1980-01-01,股份合作制,石光耀,"50.4万人民币","装卸机具配件制造、加工、修理；建筑劳务分包（凭资质证经营）",辽宁,大连,"辽宁省大连市沙河口区中长街３号"
建昌县天意矿业公司,91211422123513092X,1980-01-01,N/A,王海富,"20(万元人民币)","锰矿石、铁矿石、铁精粉，莹石",辽宁,葫芦岛,"建昌县娘娘庙乡"
大连站服务公司,91210202118418023J,1980-01-01,N/A,于春德,"392.8000(万元人民币)","住宿、承担所属企业经济往来业务货物运输、餐饮；日用百货、食品、副食品、工艺美术品（不含金银饰品）批发兼零售；书刊代销；小件搬运寄存；代购车、船、机票；贵宾室出租服务、场地租赁；代缴水电费；国内货运代理",辽宁,大连,"辽宁省大连市中山区长江路２６１号"
大连铁路甘井子服务公司,91210211118561647T,1980-01-01,N/A,李少堂,"163.7000(万元人民币)","劳务服务汽车货运、代办货运、人工装卸、人工搬运",辽宁,大连,"辽宁省大连市甘井子区甘井子站"
中粮辽宁粮油进出口公司大连储运贸易公司,91210211118572477H,1980-01-01,N/A,王景浩,"801.6000(万元人民币)","物资储存装卸服务；库内运输；筛选；粮食批发；农副产品（不含粮油）收购",辽宁,大连,"辽宁省大连市甘井子区西北路872号"
大连友谊(集团)股份有限公司外轮供应公司,912102021184196164,1980-01-01,N/A,高文春,"N/A","食品、副食品、百货、五交化商品、油漆、涂 料、船舶用品、建筑材料、垫仓物料销售；粮 油限零售；农副产品收购＊＊＊",辽宁,大连,"辽宁省大连市中山区人民路91号"
建昌县新华书店有限公司,91211422123511097Y,1980-01-01,N/A,关颖,"53.5000(万元人民币)","国内版图书、报纸、期刊批发兼零售，房屋出租，仓储、装卸服务",辽宁,葫芦岛,"辽宁省葫芦岛市建昌县红旗街三段3号"
中国农业银行股份有限公司大连金州支行,91210213118692196E,1980-01-01,N/A,郭乐,"N/A","许可该机构经营中国银行业监督管理委员会依照有关法律、行政法规和其他规定批准的业务，经营范围以批准文件所列的为准。",辽宁,大连,"辽宁省大连市金州区和平路１０８号"
中国工商银行股份有限公司大连周水子支行,91210211728859045J,1980-01-01,N/A,邹芳,"N/A","办理人民存款、贷款、结算业务；票据贴现；代理兑付、销售政府债券；外汇存款；外汇贷款；外汇汇款；外币兑换；国际结算；通过上级行办理代客汇买卖；代理国外信用卡付款；经中国银行业监督管理委员会批准的其他业务",辽宁,大连,"辽宁省大连市甘井子区华北路(甘)10A号“东特购物广场”一层1F-D05"
沈阳市农业生产资料储运公司,912101141181923197,1980-01-03,N/A,张玉喜,"1,165(万元人民币)","农业生产资料保管储运房产租赁、商品运输、装卸搬运、包装",辽宁,沈阳,"沈阳市于洪区沈北西路86号(9门"
盖州市双台供销合作社百货商店,91210881MA0UDGPB8G,1980-01-04,集体分支机构(非法人),赵芳,"N/A","百货、化妆品零售。针纺织品",辽宁,营口,"盖州市双台镇东双台村10号"
鞍山市千山粮油总公司,912103111191116563,1980-01-05,N/A,陈廷贵,"50(万元人民币)","粮油",辽宁,鞍山,"鞍山市千山区旧堡路61号"
葫芦岛市连山区塔山供销合作社,91211402626902858H,1980-01-05,集体所有制,徐莉,"84万人民币","百货、针纺织品、日用杂品、五金交电销售；分室经营农药（危险化学品除外）、化肥、农膜、不再分装的包装种子零售；（以下项目分支机构经营）代理移动电话入网服务；生产性废旧金属、生活性的废旧物资",辽宁,葫芦岛,"葫芦岛市连山区塔山乡塔山村英塔屯"
沈阳市友谊印刷纸制品厂,91210102117776048G,1980-01-05,股份合作制,董志杰,"16.4万人民币","印刷，印制商标。",辽宁,沈阳,"和平区安图街20号"
盖州市陈屯供销合作社收购站,91210881MA0UC1141J,1980-01-09,集体分支机构(非法人),赵志成,"N/A","废旧物资收购干鲜果品，中药材，土畜产品",辽宁,营口,"盖州市陈屯镇和平村4号"
锦州保安商场有限责任公司,912107001205231050,1980-01-10,N/A,陈小刚,"35(万元人民币)","预包装食品兼散装食品、乳制品",辽宁,锦州,"锦州市古塔区新安里1-93号"
绥中县大王庙供销社生资商店,91211421MA0U8W566R,1980-01-10,集体分支机构(非法人),张锋,"N/A","化肥、农药",辽宁,葫芦岛,"绥中县大王庙镇大王庙村"
抚顺市榆林机械配件厂,91210400119462173C,1980-01-10,集体所有制,林凤兰,"5万人民币","机械零件。锻件。",辽宁,抚顺,"新抚区榆林联社"
锦州顺实五金交电化工有限公司,912107001205252823,1980-01-10,N/A,关奎,"315(万元人民币)","五金交电、化工原料及产品（除危险品）、普通机械、电器机械及器材、计量衡器具、建筑材料、金属材料（除贵金属）、橡胶制品、塑料制品、仪器仪表、汽车配件、摩托车及配件、沥青",辽宁,锦州,"古塔区汉口街５２号"
锦州市土产杂品总公司,9121070012052073XR,1980-01-11,N/A,朱炳州,"246(万元人民币)","日用杂货百货，五金交电，纺织针织品，泵，制粉机械，动物产品，金属材料",辽宁,锦州,"锦州市古塔区新安里42-75号"
锦州市农业生产资料公司,912107001205207212,1980-01-11,N/A,王斌,"200(万元人民币)","化肥，文体用品，二、三类机电产品，电线电缆，载货汽车。农林牧渔机械（除拖拉机），橡胶及塑料制品，日用杂品，泵，柴油机，化学纤维，五金工具，涂料，金属材料",辽宁,锦州,"古塔区南宁路７０号"
抚顺市土产日杂公司欢乐园商店,9121040011932685XX,1980-01-19,N/A,陶钢,"80.5000(万元人民币)","麻、日用杂品、胶合板、土产品、民用建材、针纺织品、文体用品、纸及制品、塑料制品、日用百货、不锈钢制品、家用电器、铝棒材、铝合金、防盗门、文化用品（图书、报刊、音像制品及电子出版物除外）、钟表、石蜡五金工具、日用金属制品、油漆颜料、电工器材、建筑五金、水暖器材、其它农业机具、钢材、水泥、人力三轮车及配件、洗涤剂、劳动防护用品零售",辽宁,抚顺,"新抚区西四街6-1#"
新民市日用杂品公司,91210181118210601M,1980-01-20,N/A,张廷祥,"133(万元人民币)","个人燃放类【C级、D级】、日用杂品、农产品、日用百货、建筑材料、五金交电、农机具配件、水性涂料、家具、地毯批发、零售；普通货物运输",辽宁,沈阳,"新民市城区新柳街粮食社区"
北票骆铁劳动服务公司,9121138112386014X4,1980-01-21,N/A,赵红霞,"48.6000(万元人民币)","本企业资产租赁。无。无。",辽宁,朝阳,"北票市骆驼营街"
鞍山市永乐工商贸企业总公司,91210303MA0UEETK77,1980-01-24,N/A,王玲,"490(万元人民币)","水泥、钢材、五金、化工产品（不含危险化学品）、汽车配件机电产品机电产品机电产品",辽宁,鞍山,"鞍山市铁西区公益街3-1号"
岫岩满族自治县宏德建筑工程有限公司,912103221203627199,1980-01-26,N/A,赵德林,"608(万元人民币)","房屋建筑.",辽宁,鞍山,"辽宁省鞍山市岫岩满族自治县岫岩镇中心街40号"
海城市物资回收公司,91210381241548245Q,1980-01-29,N/A,丛彪,"106(万元人民币)","收购废旧有色、黑色金属；经销钢材、建材",辽宁,鞍山,"海城市三里村"
沈阳市化工原料公司同德分公司,9121010324060927XH,1980-02-04,N/A,徐冰,"290(万元人民币)","化工原料",辽宁,沈阳,"沈阳市沈河区中央路1段维新里8号"
辽阳石油化纤公司鞍山分公司附属企业公司,91210300241448076N,1980-02-04,N/A,白长令,"257(万元人民币)","化工原料及化工产品",辽宁,鞍山,"鞍山市铁西区体育街56号"
抚顺市面粉总厂集体企业公司,912104001193148322,1980-02-05,N/A,白云龙,"125.3000(万元人民币)","麦皮提黄粉。",辽宁,抚顺,"顺城区北关街"
