企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
中电华益集团永济兴达实业有限公司,91140881113695443U,1983-01-08,N/A,申健,"5,445.1750(万元人民币)","脱硫剂、粉煤灰砖制造、销售；铸件；铁合金冶炼及销售出口；汽车配件、保险柜、花卉、炉渣销售；铝合金塑钢门窗、水暖安装；物业管理；车辆起重工具及机电修理，机械配件、非标金属构件、阻垢缓蚀剂、镁制造；房屋、设备、场地租赁服务；废旧物资（不含废旧机动车辆）收购、利用；客货运输，二类汽车维修（大中型货车维护、修理及专项维修），住宿饮食服务（仅限分公司凭证照经营、国家有专项规定的从其规定）***；",山西,运城,"运城永济市中山东街20号"
祁县凯胜机械厂,92140727MA0HA4RBXC,1983-01-20,个体工商户,董忠国,"N/A","机械加工；加工水泥制品。",山西,晋中,"山西省晋中市祁县西六支乡南社村"
山西榆次官窑煤业有限公司,91140000112778781R,1983-02-26,N/A,张冬平,"10,000(万)","煤炭开采及销售(依法须经批准的项目，经相关部门批准后方可开展经营活动)。",山西,晋中,"晋中市榆次区乌金山镇平地泉村"
太原钢城企业公司铁路建筑分公司,911401081101911193,1983-02-28,N/A,吕建国,"1,050(万)","铁路电务工程专业承包叁级；机车车辆检修",山西,太原,"太原市尖草坪区太钢北厂区运输部南楼"
原平市东社镇建筑安装工程公司,91140981111988138P,1983-03-03,N/A,张建业,"51.2000(万元)","室内外装璜、管道安装。",山西,忻州,"忻州原平市东社镇"
太原市长城光电子有限责任公司,91140105110147521B,1983-03-10,N/A,高旭志,"1,000(万)","玻璃粉、绝缘子、光学纤维面板的销售；可控硅、控温仪、启动器、导型绝缘子、可控硅应用整机、真空清洗炉的销售；自有房屋租赁；企业管理咨询服务。",山西,太原,"太原市小店区南内环街98号"
怀仁县金沙滩供销合作社百棉门市部,91140624MA0H72XM63,1983-03-11,集体分支机构(非法人),杨成录,"N/A","零售：百货，纺织品*零售：五金电工器材*",山西,朔州,"朔州怀仁县第三作村"
阳泉铝矾土矿劳动服务公司,911403001105931938,1983-03-11,N/A,樊福年,"83.2000(万)","煅筑铝矾石、浇注料，劳务服务",山西,阳泉,"阳泉开发区下五渡"
太原钢城企业公司节能绝热材料制品厂,91140108110190407M,1983-03-12,集体所有制,马元明,"400万人民币","节能绝热保温材料制品、金属结构、涂管、锻造、备品备件的加工；炉窑砌筑；冶炼；设备检修；为太钢内部提供劳务服务；下属营业性经营机构经营:五金交电、电机、电动工具、水暖器材、绝热材料、百货、日用杂品、针织品、纺织品、预包装食品。",山西,太原,"太原市尖草坪区太钢三钢厂区"
太原矿山机器厂工程液压机械修配厂,91140100630172587U,1983-03-19,集体所有制,杜来喜,"30万人民币","液压件修理、普通机械加工、金属焊接（国家有专项规定的除外）*（依法须经批准的项目，经相关部门批准后方可开展经营活动）润滑液压配件、工矿机电配件修理(国家有专项规定的除外)*（依法须经批准的项目，经相关部门批准后方可开展经营活动）",山西,太原,"太原市杏花岭区中涧河乡柏杨树村北街17号"
