企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
曲靖市烟草公司麒麟分公司西山烟叶站,91530300MA6K6AC37X,1984-01-01,N/A,刘赓,"N/A","烤烟收购，调拨。烟叶生产，化肥供应，草席草绳包装物收购。兼营范围：",云南,曲靖,"云南省曲靖市西山乡冯官桥村"
寻甸回族彝族自治县仁德建筑工程公司,91530129217390847G,1984-01-01,N/A,何文龙,"601.8000(万元人民币)","12层以下，21米跨度以下的房屋建筑;高度50米以下的水塔，烟囱等构筑物的建筑施工；兼营范围：建筑材料，建筑五金，水暖器材销售;装饰装璜服务（依法须经批准的项目，经相关部门批准后方可开展经营活动）",云南,昆明,"云南省昆明市寻甸回族彝族自治县仁德街道办农贸市场内"
中国工商银行股份有限公司鹤庆支行,9153293221890079XG,1984-01-01,N/A,尹晓军,"N/A","吸收公众存款，发放人民币短期、中期和长期贷款，办理人民币结算，办理票据贴现，办理政策性住房信贷业务，办理外币存款及兑换，代理基金业务，经国务院银行业监督管理机构批准的其他业务（依法须经批准的项目，经相关部门批准后方可开展经营活动）",云南,大理,"云南省大理白族自治州鹤庆县云鹤镇南大街"
曲靖市烟草公司麒麟分公司茨营烟叶站,91530302MA6K6AD259,1984-01-01,N/A,陈保仓,"N/A","烟叶兼营范围：草席，草绳",云南,曲靖,"云南省曲靖市麒麟区茨营乡"
中国工商银行股份有限公司鹤庆鹤阳支行,915329327604007870,1984-01-01,N/A,彭杰,"N/A","吸收公众存款，发放短期、中期和长期贷款，办理人民币结算，办理票据贴现，办理外币存款及兑换，代理基金业务，经国务院银行业监督管理机构批准的其他业务（依法须经批准的项目，经相关部门批准后方可开展经营活动）",云南,大理,"云南省大理白族自治州鹤庆县云鹤镇鹤阳西路庆源小区"
曲靖市烟草公司沾益分公司大坡烟叶站,91530328MA6K5JFD7X,1984-01-01,N/A,袁会斌,"N/A","烤烟、草席、草绳收购调拨。(以上范围涉及专项审批的，按审批项目和时限经营)兼营范围：",云南,曲靖,"云南省曲靖市沾益区大坡乡大坡村委会"
曲靖市烟草公司麒麟分公司珠街烟叶站,91530302MA6K6AH8XG,1984-01-01,N/A,王显飞,"N/A","烟叶兼营范围：草席，草绳",云南,曲靖,"云南省麒麟区珠街乡珠街村"
曲靖市烟草公司沾益分公司西平烟叶站,91530328MA6KBWCH9X,1984-01-03,N/A,雷吉刚,"N/A","烤烟收购调拨。兼营范围:草席、草绳。",云南,曲靖,"云南省曲靖市沾益区西平街道文昌路502号"
曲靖市烟草公司沾益分公司菱角烟叶站,91530328MA6K95YD1H,1984-01-23,N/A,朱禹波,"N/A","烟叶收购、调拨。兼营范围：草席、草绳及化肥。",云南,曲靖,"云南省曲靖市沾益区菱角乡菱角村委会塘子边村"
昆明租赁有限公司,915301002165769496,1984-02-14,N/A,陈克平,"953.2000(万元人民币)","房屋、建筑用钢模板及配件、钢管、扣件、建筑机械、发电机组的租赁；建筑材料、百货、五金、交电、电器机械及器材、普通机械的销售（依法须经批准的项目，经相关部门批准后方可开展经营活动）",云南,昆明,"昆明市东郊金马寺太平村"
云南汽车厂劳动服务公司,91530112216754709A,1984-02-15,N/A,袁旭章,"248(万)","汽车零配件、日用百货、针纺织品、五金、交电、金属材料、建筑材料、矿产品（不含稀贵金属）、普通机械、仪器、仪表、国产汽车（不含小轿车）的销售兼营范围：",云南,昆明,"云南省昆明市西山区黄土坡洪家营"
曲靖公路桥梁工程公司,9153030221722307XD,1984-02-25,N/A,刘青,"3,100(万元人民币)","道路桥梁测量，设计施工，技术咨询服务。兼营范围：工程机械出租，工程机械维修，沥青加工及零售；商品混凝土、小型预制构件、建筑材料销售；房屋租赁。",云南,曲靖,"曲靖市前北路16号"
昆明联艺彩扩摄影器材有限公司,9153010070978026X9,1984-03-12,N/A,李勇贤,"123(万元人民币)","冲扩、摄影服务；像机维修；经济信息咨询服务；普通机械、仪器仪表、珠宝玉石制成品、工艺品、茶叶的销售（依法须经批准的项目，经相关部门批准后方可开展经营活动）",云南,昆明,"昆明市北京路97号"
云南仪表厂劳动服务公司,91530112216755402T,1984-03-20,N/A,赵庆玉,"30(万元人民币)","通用仪器、仪表元器件的加工、制造；日用百货、日用杂品、劳保用品的零兼批兼营范围：",云南,昆明,"云南省昆明市西山区海口宽地坝"
云南建投第四建设有限公司,91530000216521569H,1984-03-23,N/A,孟春柳,"40,321.5900(万元人民币)","工程总承包；建筑工程设计与施工；人防工程设计与施工；钢结构工程设计与施工；建筑装修装饰工程设计与施工；消防设施工程设计与施工；市政公用工程施工；机场场道工程施工；机电工程施工；水利水电工程施工；公路工程施工；电力工程施工；地基基础工程施工；园林绿化工程施工；环保工程施工；铁路工程施工；建筑智能化系统设计；照明工程设计；承包与其实力、规模、业绩相适应的国外工程项目；对外派遣实施上述境外工程所需的劳务人员；建筑机械、建筑材料、铝合金门窗、栏杆护手制作和安装；土地开发整理；技术及货物进出口。",云南,曲靖,"云南省曲靖市麒麟区三江大道西段建宁街道办事处"
曲靖市烟草公司沾益分公司炎方烟叶站,91530328MA6K5NQL3Q,1984-03-30,N/A,胡勇,"N/A","烤烟收购、调拨及移库。兼营范围：草席草绳。",云南,曲靖,"云南省曲靖市沾益区炎方乡"
