企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
深圳市都市建筑设计有限公司,91440300192360843R,1984-01-01,N/A,禹伟杰,"444（万元）","建筑行业(建筑工程)甲级。可承担建筑装饰工程设计、建筑幕墙工程设计、轻型钢结构工程设计、建筑智能化系统设计、照明工程设计和消防设施工程设计相应范围的甲级专项工程设计业务。可从事资质证书许可范围内相应的建设工程总承包业务以及项目管理和相关的技术与管理服务",广东,深圳,"深圳市福田区福保街道福田保税区红花路99号长平商务大厦802-810"
深圳市莱英达计时工业有限公司,91440300192183701R,1984-01-01,N/A,尚淑华,"700（万元）","钟表及其零部件制造；钟表、计时器、仪器仪表、装饰工艺品、家用电器、五金机电、建筑材料、化工产品的购销；自营进出口业务( 按深贸管登证字第34号文规定办 )。",广东,深圳,"深圳市罗湖区水贝工业区16栋3楼"
深圳市天诚交通发展有限公司修理厂,9144030089228110X2,1984-01-01,N/A,周群欢,"0（万元）","汽车配件的购销。",广东,深圳,"深圳市盐田区沙头角深沙路粤和街2号C座1楼"
怀集县金叶发展公司,91441224734127975B,1984-01-01,N/A,谭炳基,"8,210.8000(万元人民币)","批发、零售、服务：日用杂品、家用电器、百货、建筑材料。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓",广东,肇庆,"怀集县怀城镇西区沿江西路27号（办公场所）（住改商）"
深圳市辉泽实业有限公司汽车修配厂,9144030089231643XN,1984-01-01,N/A,陈苏泽,"0（万元）","汽车修理、摩托车、自行车修理。",广东,深圳,"深圳市罗湖区深沙路莲塘西岭下村北区11号工厂大厦一楼"
深圳罗湖大酒店有限公司,914403006188450806,1984-01-01,N/A,查生明,"1000（万元）","以经营酒店、客房为主，兼营部分经市政府批准进口的商品及国内的轻工家用电器产品的零售商场，附设餐厅、歌舞厅、卡拉ＯＫ。零售商场经营日用百货、家具、小五金、家用电器和烟酒、商品只准零售，不得批发，增设美容、美发及花店，在本酒店四楼经营桑拿按摩业务。",广东,深圳,"深圳市罗湖区南湖路3号"
深圳市深粤控股股份有限公司,91440300192184210J,1984-01-01,N/A,孙玲玲,"490000（万元）","国内商业、物资供销业( 不含专营、专控和专卖产品 )；经营进出口业务（按中华人民共和国进出口企业资格证书规定办理）；自有物业租赁；机动车停放服务",广东,深圳,"深圳市南山区同乐村"
深圳市沙头角镇华升发展公司新兴商店,91440300892182208B,1984-01-01,N/A,吴奕光,"5（万元）","服装，日用百货，日用化学品，针纺织品，钟表，电子玩具，照相器材，日用电器，通讯器材",广东,深圳,"深圳市盐田区沙头角镇内中兴街17号"
珠海经济特区石油化工贸易有限公司,91440400192536183L,1984-01-01,N/A,杨多达,"460(万)","批发、零售：石油制品（不含成品油）、润滑油、五金交电、建筑材料、普通机械、日用百货、工艺美术品（不含金首饰）；沿海货运、内河货运、成品油零售（限下属加油站经营）；预包装食品的零售（具体按SP4404001210071865号食品流通许可证经营，许可证有效期至2015年1月3日，限分支机构经营）；卷烟、雪茄烟、汽车洗车服务",广东,珠海,"珠海市吉大路65号"
中国工商银行股份有限公司怀集支行,914412248956231018,1984-01-01,N/A,王锦强,"N/A","经营中国银行业监督管理委员会依照有关法律、行政法规和其他规定批准的业务，经营范围以批准文件所列的为准。",广东,肇庆,"怀集县怀城镇莲花庄悦景康城第1幢一层A01商铺"
