企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
北京市光美印刷有限公司,9111010510170594XL,1986-01-01,N/A,张凤仙,"50(万元人民币)","其他印刷品印刷、烫金。",北京,朝阳,"北京市朝阳区十八里店小武基47号"
北京市京兆汽车修理有限公司,9111010810189690XB,1986-01-01,N/A,连德水,"50(万元人民币)","汽车小修；低级维护；兼业代理保险法律法规和行政规章制度许可范围内的险种。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。)",北京,海淀,"北京市海淀区八里庄街道田村路半壁店路南"
北京捷联汽车服务有限责任公司,91110113102509430X,1986-01-01,N/A,康建松,"354(万元人民币)","汽车大修、总成大修、维护（保养）、汽车专项修理；普通货运；销售汽车、汽车配件、日用品、工艺品（不含文物）、电子产品；保险兼业代理",北京,顺义,"北京市顺义区仁和地区山子坟村"
中铁十六局集团路桥工程有限公司,91110000102978392X,1986-01-01,N/A,褚英奎,"55,080(万元人民币)","可承担新建、扩建铁路大中型建设项目的30公里以下综合工程施工，包括路基土石方、一般特大桥等单项工程以及50公里以下的地方或专用铁路工程施工，可承担高速公路路基、一级标准以下公路和独立大桥工程的施工；可承担中型建设项目的机械施工；普通货运；仓储服务；销售金属材料、建筑材料、五金交电、化工产品",北京,密云,"北京市密云区新北路29号"
北京市新华书店连锁有限责任公司建筑书店,91110108794077383D,1986-01-01,N/A,王淑芳,"N/A","零售公开发行的国内版图书、人体艺术画册、期刊、报纸、图片、课本、教材。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。)",北京,海淀,"北京市海淀区甘家口商场南"
台湾饭店有限公司,91110101625902186F,1986-01-02,N/A,徐国荣,"48,924(万元人民币)","住宿（卫生许可证有效期至2017年12月30日）；餐饮服务（（含凉菜、不含裱花蛋糕、含生食海产品）（餐饮服务许可证有效期至2016年10月24日）；美容（非医疗美容）、游泳池",北京,东城,"北京市东城区金鱼胡同5-15号"
北京城建安装集团有限公司机械分公司,91110102801546089W,1986-01-03,有限责任公司,欧阳光,"N/A","制造、安装BR1级压力容器；金属结构加工；修理机械设备。",北京,西城,"北京市西城区广外车站西街13号"
北京荣华世纪印刷有限公司,91110105101678574W,1986-01-06,N/A,邢珍山,"500(万元人民币)","零件印刷、纸制品加工。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。)",北京,朝阳,"北京市朝阳区黄渠村"
中国教育服务中心有限公司,9111010110000413XW,1986-01-07,N/A,李恒彬,"100(万元人民币)","自费出国留学中介服务；组织文化交流活动",北京,东城,"北京市东城区东直门内海运仓1号"
北京市公用工程设计监理有限公司,91110105101647604W,1986-01-08,N/A,徐静,"3,000(万元人民币)","施工总承包；建设工程项目管理；工程技术咨询；工程材料咨询；工程造价咨询；燃气、热力、上下水管线、房屋建筑工程设计监理；技术推广服务；晒图服务；劳务服务；销售机械设备、建筑材料、金属材料、五金交电、计算机、软件及辅助设备；财务咨询",北京,朝阳,"北京市朝阳区化工路59号院4号楼1至14层101内12层、13层"
港澳中心有限公司,91110000625901693Q,1986-01-11,N/A,黎晓静,"1,400(万元美元)","经营酒店、写字间、公寓、零售商品部、餐厅、酒吧、咖啡厅、俱乐部、游泳池、桑拿按摩浴室",北京,东城,"北京市东城区朝阳门北大街2号"
中国盐业集团有限公司,91110000101625149Q,1986-01-11,N/A,李耀强,"297,922.6547(万)","食盐批发（食盐批发许可证有效期至2018年12月31日）；销售食品；工业盐产品的调拨、批发；各种盐产品、盐化工产品、盐田水产品及其制品、盐田生物及其制品、盐业企业所需设备、木材、水泥、电缆、包装材料、盐田结晶用苫盖材料、塑料及其助剂、日用品、化妆品、酒店用品、厨房用品、建筑材料、钢材、木材的销售；家用电器、办公设备、针纺织品、汽车零配件的销售；仓储；自有房屋出租；招标服务与以上业务有关的技术咨询、技术服务；销售煤炭",北京,丰台,"北京市丰台区西站南广场驻京办1号楼"
