企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
景县自来水公司,9113112710997305XH,1986-01-02,N/A,李东生,"260(万元人民币)","供水自来水管道安装及维修",河北,衡水,"景 县景开街东头路南"
石家庄市保障性安居工程开发建设有限责任公司,91130100104400383W,1986-01-03,N/A,刘清国,"200,000(万元人民币)","城市房地产综合开发与经营、保障性安居工程的投资，基础设施配套建设、建筑工程的设计与施工、建筑工程监理、园林绿化工程的设计与施工，建筑工程安装、建筑装饰装修工程的设计与施工、房地产中介、物业服务，五金交电、化工产品",河北,石家庄,"石家庄长安区平安北大街3号"
沧州市科学器材物资公司,911309001095401828,1986-01-03,N/A,焦锐,"50(万元人民币)","批发零售：仪器仪表、普通机械、家用电器、降氟净化设备、化工原料(不含化学危险品)；塑料加工；电器修理；太阳能热水器组装、维修；房屋出租。",河北,沧州,"沧州市运河区迎宾路2号"
河北省昌黎县农用物资公司,91130322105430779Q,1986-01-04,N/A,石润利,"69.9000(万元人民币)","农膜、农业机械及配件、化肥、农药、不再分装的包装种子、日用杂货、五金产品批发、零售。",河北,秦皇岛,"昌黎县八里庄村、205国道北侧"
电光电子有限公司,91130100601002781P,1986-01-06,N/A,甲宗利,"649.5832(万元人民币)","液晶显示器及配件的组装、研发、销售及售后服务；电子产品的技术研发、技术咨询、技术推广；自营和代理各类商品和技术的进出口业务",河北,石家庄,"河北省石家庄市鹿泉开发区光谷科技园B-2楼五层"
唐山钢铁集团金恒企业发展总公司劳动服务公司,911302021049189402,1986-01-30,N/A,姚振东,"50.5000(万元人民币)","五金、交电、紧固件、仪器仪表、建筑材料、冶金炉料、日用百货、日用杂货、日用化学品、服装、文教用品、纸及纸制品*金属结构加工（不含专项审批项目），磨具及其配件加工，电器机械修理（不含实行许可证项目），模板出租修理，房屋防水（不含资质证项目），小型管道保温（不含国家有专项审批的项目），劳务*",河北,唐山,"路南区和平路南口"
宣化钢铁集团有限责任公司焦化厂,91130705806302147Q,1986-02-16,N/A,李智谦,"N/A","煤气、粗（轻）笨、煤焦油、稀硫酸（78%）、萘、煤焦沥青（安全生产许可证有效期至2020年11月08日）；硫酸、氢氧化钠、煤气、硫酸、粗笨、煤焦油、氮【压缩的】、煤气",河北,张家口,"张家口宣化区工业街１号"
宣化钢铁集团有限责任公司小型轧钢厂,91130705700819914G,1986-02-16,N/A,刘伍,"N/A","黑色金属冶炼及压延加工，钢材、木材、水泥、机电产品的销售。",河北,张家口,"张家口宣化区车站西街"
廊坊市燃料路西公司,911310001092629361,1986-02-21,N/A,苗刚毅,"318(万)","销售钢材、水泥、铁粉、焦碳、化工产品（化学危险品除外）、防水材料·",河北,廊坊,"廊坊市广阳区新华路6号"
永清县城建建筑工程有限公司,91131023109380289M,1986-02-26,N/A,刘卫冰,"614.5000(万元人民币)","房屋建筑工程施工总承包叁级；土地整理；室内外装饰装修工程施工。",河北,廊坊,"永清县城内府东街路北"
固安县宫村供销合作社,91131022599944787T,1986-03-03,集体所有制,邱广山,"87.78万人民币","百货、针纺织品、五金交电、化工、化肥、农膜、日用杂货、农业机械及配件销售；废旧物资回收；工艺品加工、销售（法律、法规禁止的除外；法律、行政法规规定需取得行政许可的，未获批准前不得经营）＊废旧物资回收＊",河北,廊坊,"固安县宫村镇"
衡水第二回收公司,911311021097945297,1986-03-06,N/A,蔡宝田,"50(万元人民币)","废旧物资回收。钢材。",河北,衡水,"衡水桃城区衡枣路10号"
衡水光明化工有限公司,91131102109790608T,1986-03-10,N/A,高奎彬,"50(万元人民币)","生产金属防锈封存油(有效期至2020年03月05日)、清洗剂、切削液、黄腐酸。",河北,衡水,"衡水市桃城区赵圈镇桥头村"
青县自来水公司安装服务队,91130922106786427B,1986-03-12,N/A,陈忠,"3(万元人民币)","自来水工程安装；自来水管材销售（依法须经批准的项目，经相关部门批准后方可开展经营活动）",河北,沧州,"河北省沧州市青县清州镇河沟"
河北省青县自来水公司,91130922106786419G,1986-03-12,N/A,王恩先,"211(万元人民币)","集中式供水；自来水修配材料销售；水利、城镇供排水、农村饮水安全工程施工；自有房屋租赁（依法须经批准的项目，经相关部门批准后方可开展经营活动）",河北,沧州,"河北省青县清州镇河沟"
保定市新市区西苑机械配件厂,911306021060073825,1986-03-13,集体所有制,李子荣,"5万人民币","农机件加工纺织件、塑料制品加工。",河北,保定,"保定市新市区苑七店"
迁西县东荒峪供销合作社采购站,91130227MA0998DD5M,1986-03-13,集体分支机构(非法人),朱全,"N/A","生活性废旧物品回收（依法须经批准的项目，经相关部门批准后方可开展经营活动）*",河北,唐山,"迁西县东荒峪村"
中国工商银行股份有限公司围场支行,91130828809248879K,1986-03-21,N/A,徐国峰,"N/A","人民币存款、贷款、结算业务；办理票据贴现业务；代理发行金融债券，代理发行、兑付政府债券，代理收付款项及代办保险业务；经银监管理部门批准的其他业务。",河北,承德,"围场满族蒙古族自治县围场镇伊逊路200号"
际华三五四三针织服饰有限公司,91130681700990412A,1986-03-22,N/A,李俊,"15,000(万元人民币)","棉化纤纺织及印染、针织品编织品及其制品、纺织服装的制造及销售；肩章、臂章、领章、资历章（胸章）、绶带、卫生敷料、棉丝带、帐篷、手套、背包、箱包、腰带、帽子、被褥及床上纺织用品的加工及销售；技术进出口和货物进出口业务；经营“三来一补”业务；房屋租赁业务；百货、服装、服饰、鞋帽、文化体育用品、办公用品、劳保用品、箱包、皮具、户外装备（帐篷、绳）、自有废旧物资（不含有色金属）、钢材销售（依法须经批准的项目，经相关部门批准后方可开展经营活动）",河北,保定,"涿州市范阳中路239号"
中国农业银行股份有限公司平泉市支行,911308238091608778,1986-03-26,N/A,李晓阳,"N/A","金融业务（按许可证及有关批准文件核定的范围从事经营）",河北,承德,"平泉市平泉镇兴平中路62号"
中国工商银行股份有限公司平泉支行,91130823809161212P,1986-03-26,N/A,周亚民,"N/A","金融业务（按许可证核定范围从事经营）：保险业务代理（依法须经批准的项目，经相关部门批准后方可开展经营活动）",河北,承德,"平泉市平泉镇双桥街45号"
