企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
衡水丰华皮鞋材料有限公司,91131102109791336X,1987-01-01,有限责任公司,王志民,"1006.6万人民币","再生革、纤维革制造。",河北,衡水,"衡水市南门口大街１２６号"
河北省烟草公司张家口市公司赤城县卷烟营销部,9113073210906071XA,1987-01-01,N/A,赵光耀,"N/A","卷烟、雪茄烟",河北,张家口,"赤城县赤城镇松林村"
秦皇岛电力公司路灯管理处,911303021052501880,1987-01-03,N/A,贾东伟,"56(万元人民币)","路灯维护线路安装、设备安装，线路安装；设备安装（依法须经批准的项目，经相关部门批准后方可开展经营活动）",河北,秦皇岛,"秦皇岛市海港区西港路中段"
首钢矿山劳动服务公司印刷厂,911302831051008254,1987-01-10,N/A,董良敏,"51.7000(万元人民币)","内部资料印刷",河北,唐山,"首钢矿山机动厂院内"
首钢矿山劳动服务公司修理厂,911302831051274892,1987-01-13,N/A,江锋,"38.8000(万元人民币)","电动机、矿山、冶金专用设备维修；废旧塑料回收与批发。金属栅栏、电器设备元件、汽车滤芯、塑料颗粒、焊条、铸球制造；家用电器、五金交电、文具用品零售。",河北,唐山,"迁安市杨店子镇大庄户村西"
首钢矿山劳动服务公司康阳商店,91130283105100913J,1987-01-13,N/A,林良,"16.2万人民币元","计算机、软件及辅助设备（计算机信息系统安全专用产品除外）、食用农产品批发、零售；计算机维修；预包装食品、散装食品、文具用品、体育用品及器材、厨房用具及日用杂品零售；国内版图书、音像制品零售、热食类食品制售",河北,唐山,"迁安市滨河村"
首钢矿山劳动服务公司综合加工厂,911302831051070826,1987-01-13,N/A,张丽清,"40(万元人民币)","建筑保温材料、刨花碱、闸瓦、水性涂料制造。分装润滑油、金属零部件加工。",河北,唐山,"迁安市杨店子镇大庄户村西"
中国工商银行股份有限公司迁安上东水郡支行,911302838051154976,1987-01-13,N/A,吴海永,"N/A","办理人民币存款、贷款；国内结算；办理票据承兑、贴现、转贴现；提供信用证服务及担保；代理发行、代理承销、代理兑付政府债券；代理发行金融债券；代收代付业务；代理证券资金清算业务",河北,唐山,"河北省迁安市区规划路南侧、丰盛大路东侧第3幢4单元东侧一层"
首钢矿山劳动服务公司滨河村饭店,911302831051268060,1987-01-13,N/A,孟庆杰,"13(万元人民币)","中型餐馆（含凉菜，不含裱花蛋糕，不含生食海产品）；烟草制品",河北,唐山,"首钢迁安矿滨河村"
首钢矿业劳动服务公司丰华服装厂,91130283105108675P,1987-01-13,N/A,李丽,"40(万元人民币)","普通工作服、帆布手套、汽车装具、棉布服装、羽绒服装、阻燃防护服、防静电工作服、防酸工作服、雨衣制造。服装印字服务。",河北,唐山,"首钢迁安矿龙山"
张家口市宣化锦通物流有限公司,91130705682786150A,1987-01-16,N/A,史杰,"100(万元人民币)","物流服务，仓储服务，搬运装卸。",河北,张家口,"张家口宣化区大东门外宣赤路联运货场内"
秦皇岛市海港区海阳供销合作社,9113030210529819XT,1987-01-17,集体所有制,姚继,"141.71万人民币","管理下属企业*（依法须经批准的项目，经相关部门批准后方可开展经营活动）",河北,秦皇岛,"秦皇岛市海港区海阳镇"
衡水和平国储粮库有限责任公司,911311021097909319,1987-01-19,N/A,高自卫,"3,650(万元人民币)","粮食收购；原粮储存",河北,衡水,"衡水市道岔街66号"
秦皇岛市财信资产管理公司,9113030040181681XR,1987-01-20,N/A,张树江,"15,000(万元人民币)","经营管理授权范围内的政府投资的国有资产；经营管理政府授权的土地一级开发、投资；从事非金融性投资、项目融资等资本运作业务；授权进行国有资产对外开展融资的抵押担保；政府授权的其他资产管理；房屋租赁（依法须经批准的项目，经相关部门批准后方可开展经营活动）",河北,秦皇岛,"秦皇岛市经济技术开发区华山中路2号"
石家庄七四二零科技有限公司华北汽贸配件供应站,911301138043840704,1987-02-10,N/A,赵红梅,"N/A","汽车配件、汽车轮胎、机油、汽车装具、洗车。钢材、五金交电、化工产品",河北,石家庄,"河北省石家庄市长安区胜利北街298号"
中国农业银行股份有限公司香河淑阳支行,91131024809356183F,1987-02-12,N/A,朱虎,"N/A","吸收公众存款；发放短期、中期、长期贷款；办理国内结算；办理票据承兑与贴现；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事银行卡业务；代理收付款项；代理资金清算；各类汇兑业务；资信调查、咨询、见证业务；企业、个人财务顾问服务；电话银行、手机银行、网上银行业务；经银行业监督管理机构批准的其他业务；保险兼业代理业务",河北,廊坊,"香河县五一路东侧秀水街西段北侧"
安新县古建工程公司,911306321085202433,1987-02-20,N/A,伊全胜,"2,000(万元人民币)","按资质证核准的经营范围从事经营活动",河北,保定,"安新县新北街"
临城县岐山湖土特产购销中心,911305221073200474,1987-02-23,集体所有制,白鹏浩,"65万人民币","干鲜果品、小杂粮、家用电器批发、零售*",河北,邢台,"临城县临城镇临泉路"
中国农业银行股份有限公司承德双塔山支行,911308038065130912,1987-02-23,N/A,李庆新,"N/A","吸收公众存款；发放短期、中期、长期贷款；办理国内外结算；办理票据承兑与贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；买卖、代理买卖外汇；结汇、售汇；从事银行卡业务；提供信用证服务及担保；代理收付款项；提供保管箱业务；代理资金清算；各类汇兑业务；代理政策性银行、外国政府和国际金融机构贷款业务；贷款承诺；组织或参加银团贷款；外汇存款；外汇贷款；外汇汇款；外汇借款；发行、代理发行、买卖或代理买卖股票以外的外币有价证券；外汇票据承兑和贴现；自营、代客外汇买卖；外币兑换；外汇担保；资信调查、咨询、见证业务；企业、个人财务顾问服务；证券公司客户交易结算资金存管业务；企业年金托管业务；产业投资基金托管业务；代理开放式基金业务；电话银行、手机银行、网上银行业务；金融衍生产品交易业务；个人黄金买卖业务。经国务院银行业监督管理机构等监管部门批准的其他业务；保险兼业代理",河北,承德,"承德双滦区双塔山中心大街424号"
中国工商银行股份有限公司高碑店五一支行,911306848086129151,1987-02-24,N/A,杨立辉,"N/A","办理人民币存款、结算业务；办理支付结算代理业务；办理个人综合消费贷款业务；办理银行卡业务、办理电子银行、个人理财业务；办理企业、个人财务顾问服务业务；代理发行金融债券；代理发行、代理兑付政府债券；办理代理收付款项业务、代理保险业务、基金代销业务、记账式债券的柜面买卖业务；办理银证转账业务；办理黄金、铂金、白银业务；以及中国银行业监督管理委员会依照有关法律、行政法规和其它规定批准的其它业务。",河北,保定,"高碑店市五一路西侧尚品东方综合楼"
中国银行股份有限公司石家庄市机场路支行,91130100804323227F,1987-03-07,N/A,王文生,"N/A","办理人民币存款、贷款、结算业务；办理票据贴现业务；代理发行、兑付、销售政府债券；代理发行金融债券；代理收付款项；外汇存款；外汇汇款；外币兑换；国际结算；外汇票据的承兑与贴现；通过上级行办理代客外汇买卖；结汇、售汇；经中国人民银行批准的其他业务；保险法律法规和行政规章制度许可范围内的险种。",河北,石家庄,"石家庄市新华区和平西路499号"
河北省农业机械有限公司,9113010110432080XW,1987-03-09,N/A,李莹,"2,531(万元人民币)","机电产品、农业机械及农业电器设备的维修、服务；自营和代理各类商品和技术的进出口业务（国家限定公司经营或禁止进出口的商品和技术除外），房屋租赁；钢材、化工产品（危险化学品及易制毒化学品除外）、润滑油、工艺美术品",河北,石家庄,"石家庄高新区宋营镇德昌南大街58号"
承德市郊区农村信用合作联社滦江信用社,911308031065103758,1987-03-09,N/A,王剑,"62.7000(万元人民币)","办理存款、贷款、票据贴现、国内结算业务；办理个人储蓄业务；代理其他银行业务；代理收付款项及受托代理保险业务；买卖政府债券；代理发行、代理兑付、承销政府债券；办理资金清算业务；经中国银行业监督管理委员会及其派出机构批准的其他业务***（2007年4月12日签发金融许可证）",河北,承德,"承德双滦区滦河镇红旗营子"
河北省石油化工供销公司,91130100104321124J,1987-03-09,N/A,律国顺,"921(万元人民币)","石油及制品（不含成品油）的供应、橡胶及制品、钢材、生铁、有色金属（不含贵金属）、木材、建筑材料、轻工产品、纺织产品、汽车",河北,石家庄,"石家庄市合作路336号"
