企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
化隆回族自治县甘都供销合作社,91632127226940273C,1989-04-05,集体所有制,王吉录,"83万人民币","百货、针纺织品、五金交电、文化用品、服装鞋帽、建工建材、化肥农药",青海,海东,"化隆县甘都镇"
化隆回族自治县昂思多供销合作社,91632127226940310J,1989-04-24,集体所有制,赵小伟,"57万人民币","服装、鞋帽、百货、针纺织品、五金交电、家用电器、化肥、农药、农膜零售；蜂蜜、羊毛收购。",青海,海东,"化隆县昂思多镇"
青海省建青石材厂,916300002265801915,1989-06-08,国有企业,殷显发,"273万人民币","建筑用石材加工。",青海,西宁,"西宁市八一路民院南侧"
循化撒拉族自治县农村信用合作联社街子信用社,91632128074567835X,1989-06-26,N/A,马国良,"N/A","办理存款、贷款、票据贴现、国内结算业务；办理个人储蓄业务；代理其他银行的金融业务；代理收付款项及受托办理保险业务；买卖政府债券；代理发行、代理兑付、承销政府债券由县联社统一办理资金融通调剂业务；办理经银行业监督管理机构批准的其他业务。",青海,海东,"青海省循化县街子三岔口"
互助县高寨镇石膏综合加工厂,91632126MA753AM59Y,1989-07-06,集体所有制,仁青,"19.5万人民币","农机具修理、石膏粉、五金焊接*",青海,海东,"互助县高寨镇西村"
门源回族自治县青石咀供销合作社,916322212270006895,1989-07-13,集体所有制,马晓璞,"113万人民币","农药、化肥、农膜；土特产杂品、农牧机械、中小农具、日用百货、服装鞋帽、针纺织品、烟酒制品及各类预包装食品批发、零售；废旧物品回收*",青海,海北,"门源县青石咀镇南街2号"
互助县哈拉直沟供销社,91632126MA752MXA73,1989-08-04,集体所有制,郭全生,"119万人民币","百货、纺织品、日用杂品、五金交电、农药（不含危险化学品）、化肥零售；农副产品收购（依法须经批准的项目，经相关部门批准后方可开展经营）*",青海,海东,"互助县哈拉直沟乡尚家村"
海东市乐都区碾伯中心供销合作社,91632123226860249Y,1989-08-07,集体所有制,董世贤,"79万人民币","百货、纺织、服装及日用品专门零售；食品、饮料及烟草制品专门零售；五金、交电；家用电器；文具、体育用品；土产杂品；珠宝首饰零售及加工；食用碘盐；烟花爆竹。化肥、农药",青海,海东,"青海省海东市乐都区古城大街54号"
中国邮政集团公司青海省达日县分公司,91632624710553013X,1989-08-14,N/A,吴泽毅,"N/A","许可经营项目：国内和国际邮件寄递业务、机要通信业务和义务兵通信业务、邮政汇兑业务、依法经营邮政储蓄业务、邮票和集邮品销售业务、国家批准的其他业务一般经营项目：各类邮政代理业务、报刊等出版物发行业务、邮政物流(不含前置许可项目）、电子商务等新兴邮政业务；邮政软件开发；邮政工程规划及邮政器材销售：邮政编码信息和经济技术开发、咨询与服务；商业信函、企业贺卡销售；广告制作、代理发布、广告信息咨询；农业生产资料（含有危险化学品的农药和分装种子除外）、日用品销售***",青海,果洛,"青海省达日县吉迈地区"
尖扎县农村信用合作联社康杨信用社,9163232207456639XE,1989-08-17,N/A,朱建军,"N/A","金融业务（上述经营范围依法须经批准的项目，经相关部门批准后方可开展经营活动）***",青海,黄南,"尖扎县康杨镇桥头"
循化撒拉族自治县农村信用合作联社查汗都斯信用社,91632128074567683H,1989-09-12,N/A,马德寿,"N/A","办理存款、贷款、票据贴现、国内结算业务；办理个人储蓄业务；代理其他银行的金融业务；代理收付款项及受托代办保险业务；买卖政府债券；代理发行、代理兑付、承销政府债券；由县联社统一办理资金融通调剂业务；办理经银行业监督管理机构批准的其他业务。",青海,海东,"循化县查汗都斯乡下庄村"
循化县白庄供销社,91632128226960485W,1989-09-15,集体所有制,马俊良,"59万人民币","日用百货、纺织品、日用杂品、五金交电、化妆品、化肥、农药",青海,海东,"循化县白庄镇"
循化撒拉族自治县街子供销合作社,91632128226960338B,1989-09-15,集体所有制,韩建国,"44万人民币","日用百货、化妆品、服装鞋帽、针织品、五金、副食、烟酒、文化用品、食盐碱面、化肥、农药（不含危险化学物品）",青海,海东,"循化县街子乡三兰巴亥村"
循化县街子供销社塘坊门市部,91632128MA752A9C84,1989-09-19,集体分支机构(非法人),鲁文明,"N/A","日用百货",青海,海东,"青海省循化县街子乡塘坊村"
互助县五峰供销社,91632126MA752MW767,1989-09-20,集体所有制,马祥魁,"67.3万人民币","百货、纺织品、五金交电、日用杂品、农药（不含危险化学品）、化肥零售；农副产品收购（依法须经批准的项目，经相关部门批准后方可开展经营活动）*",青海,海东,"互助县五峰乡新庄村"
循化撒拉族自治县农村信用合作联社文都信用社,91632128074567907N,1989-09-21,N/A,索南,"N/A","办理存款、贷款、票据贴现、国内结算业务；办理个人储蓄业务；代理其他银行的金融业务；代理收付款项及受托代办保险业务；买卖政府债券；代理发行、代理兑付、承销政府债券；由县联社统一办理资金融通调剂业务；办理经银行业监督管理机构批准的其他业务。",青海,海东,"青海省循化县文都乡拉兄村"
青海省新华发行(集团)有限公司乐都分公司,916321232268605995,1989-09-24,N/A,王维民,"N/A","图书、报纸、期刊、电子出版物发行（凭许可证经营）；文化用品销售；房屋出租；音像制品零售",青海,海东,"青海省海东市乐都区碾伯镇南门台2号"
互助县沙塘川供销社,91632126226920926A,1989-10-08,集体所有制,苏进奎,"61.5万人民币","百货、纺织品、日用杂品、五金交电、农药（不含危险化学品）、化肥零售；农副产品收购（依法须经批准的项目，经相关部门批准后方可开展经营活动）*",青海,海东,"互助县沙塘川乡甘二村"
互助县丹麻供销社,91632126MA752MX218,1989-10-10,集体所有制,梁绍芳,"44.5万人民币","百货、五金交电、日用杂品、纺织品、农药（不含危险化学品）、化肥零售；农副产品收购（依法须经批准的项目，经相关部门批准后方可开展经营活动）*",青海,海东,"互助县丹麻乡东丹麻村"
互助县南门峡供销社,91632126MA752MXC3Q,1989-10-10,集体所有制,汪永珠,"79.5万人民币","百货、日用杂品、纺织品、五金交电、农药（不含危险化学品）、化肥零售；农副产品收购（依法须经批准的项目，经相关部门批准后方可开展经营活动）*",青海,海东,"互助县南门峡乡却藏寺村"
互助县西昝扎供销社,91632126MA752MX56T,1989-10-10,集体所有制,王志鸿,"59万人民币","百货、纺织品、五金交电、日用杂品、农药（不含危险化学品）、化肥零售；农副产品收购（依法须经批准的项目，经相关部门批准后方可开展经营活动）*",青海,海东,"互助县边滩乡昝扎村"
