企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
沙雅县兴雅水务集团有限责任公司,91652924710817074L,1990-01-01,N/A,曾银成,"24,234.0820(万元人民币)","售水、自来水安装,管道修理、城市污水处理及综合利用，污水处理费的收取，垃圾清运费的收取，排水管道的安装及维修，各乡镇防病改水设施的管理，管道工程建设，供应农牧民生活用水，纯净水的生产与销售，农业灌溉水，农业土地开发，水利设施的维护及维修，地下水的管理及综合利用，城乡基础设施投资。非营利性教育设施、社会福利设施、公共文化设施及水路交通设施的建设、投资、运营、管理及维护",新疆,阿克苏,"新疆阿克苏地区沙雅县人民北路21号"
库车县农村信用合作联社玉奇吾斯塘信用社,91652923722363938W,1990-02-10,N/A,买合木提·托胡提,"N/A","办理存、贷款、票据贴现、国内结算业务；办理个人储蓄业务；代理其他银行的金融业务；代理收付款项；买卖政府债券；代理发行、代理兑付、承销政府债券；提供保险箱服务；由县联社统一办理资金融通调剂业务；办理经中国银行业监督委员会批准的其他业务。",新疆,阿克苏,"新疆阿克苏地区库车县玉奇吾斯塘乡"
库车县农村信用合作联社,91652923229751865P,1990-02-20,N/A,塔依尔·依斯马依力,"N/A","办理存、贷款、票据贴现、国内结算业务；办理个人储蓄业务；代理其他银行的金融业务；代理收付款项；买卖政府债券；代理发行、代理兑付、承销政府债券；提供保险箱服务；由县联社统一办理资金融通调剂业务；办理经中国银行业监督委员会批准的其他业务。",新疆,阿克苏,"新疆阿克苏地区库车县新城友谊路6号"
库车县农村信用合作联社乌尊信用社,916529237155913930,1990-02-20,N/A,热合曼·艾拜,"N/A","办理存、贷款、票据贴现、国内结算业务；办理个人储蓄业务；代理其他银行的金融业务；代理收付款项；买卖政府债券；代理发行、代理兑付、承销政府债券；提供保险箱服务；由县联社统一办理资金融通调剂业务；办理经中国银行业监督委员会批准的其他业务。",新疆,阿克苏,"新疆阿克苏地区库车县乌尊镇"
库车县农村信用合作联社乌恰信用社,916529237155910867,1990-02-20,N/A,塔依尔·依斯马依力,"N/A","办理存、贷款、票据贴现、国内结算业务；办理个人储蓄业务；代理其他银行的金融业务；代理收付款项；买卖政府债券；代理发行、代理兑付、承销政府债券；提供保险箱服务；由县联社统一办理资金融通调剂业务；办理经中国银行业监督委员会批准的其他业务。",新疆,阿克苏,"新疆阿克苏地区库车县乌恰镇"
新疆锦龙电力集团有限公司,91654003230490594C,1990-02-22,N/A,王锋,"158,565(万)","城市集中供热；道路普通货物运输；热工，仪表检修工，锅炉本体检修工，汽轮机本体检修工，常用电安装工，电厂水处理值班员的初中级鉴定培训，电厂水质化验员，电工，电焊工的初中高级鉴定培训；锅炉动作值班员，变电站值班员 ，汽轮机运行值班员的初中级鉴定培训",新疆,伊犁哈萨克,"新疆伊犁州奎屯市天北新区行知园-天北大道33幢14层"
墨玉县农村信用合作联社,916532227108377532,1990-03-15,N/A,王东,"10,569.3910(万)","中国银监会核定批准的金融业务，委托代办保险业务；提供保管箱业务；租赁。",新疆,和田,"新疆和田地区墨玉县古则西路238号"
阿克苏市供销合作联社浑巴什乡基层供销社,91652901229702115F,1990-03-15,集体所有制,李红玲,"154万人民币","化肥、农用薄膜、针纺织品、百货、五金交电、日用杂品、塑料制品、小型农具的销售；农副产品代购、代销；房屋租赁。",新疆,阿克苏,"新疆阿克苏地区阿克苏市浑巴什乡"
博乐市供销合作社服务公司,916527012294013390,1990-03-28,集体所有制,鲁建新,"203万人民币","百货、针纺织品、五金交电、化工(化学危险品除外)批发零售；房屋出租,农作物种植,农副产品购销(除专营外),工艺美术品(金银首饰除外)。",新疆,博尔塔拉,"新疆博州博乐市响根布呼路"
青河县农村信用合作联社,91654325231020279R,1990-04-16,N/A,徐明辉,"5,124.9936(万元人民币)","办理存款、贷款、票据贴现、国内结算业务、办理个人储蓄业务；办理经银监会批准的其他业务；代理保险兼业业务，代销代办移动通信业务。",新疆,阿勒泰,"新疆阿勒泰地区青河县青河镇友好南路41号"
