企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
景德镇黑猫集团有限责任公司,91360200158790006C,1991-01-01,N/A,王耀,"116,170(万元人民币)","焦炭、炭黑及其尾气、白炭黑（二氧化硅）、工业萘、轻油、洗油、脱酚油、粗酚油、蒽油、中温沥青、燃料油、煤气、蒸汽、复合肥、编织袋制造及销售，原煤深加工及销售（按环保部门有关规定办理）；水、电转供；百货、家电、工艺品、花卉、玻璃制品、塑料制品、化工产品、五金、水暖器材、建筑及装饰材料、保温材料销售；自有房屋及设备租赁、水电安装；室内外装饰工程设计及施工，幕墙施工，园林绿化工程设计及施工",江西,景德镇,"江西省景德镇市昌江区历尧"
南昌市新建区樵舍供销合作社日杂部,91360122MA35J72M29,1991-01-01,集体事业单位营业,涂怀经,"0万人民币","陶瓷、日用杂品。(依法须经批准的项目，经相关部门批准后方可开展经营活动）",江西,南昌,"江西省南昌市新建区樵舍街"
南昌市电子新光源公司,91360100158345834L,1991-01-03,N/A,胡建国,"72(万元人民币)","高效节能萤光灯的生产、销售；黑白显像管、高效节能灯修理（以上项目依法需经批准的项目，需经相关部门批准后方可开展经营活动）",江西,南昌,"江西省南昌市湾里区幸福路１１０号"
铅山县鹅湖供销社,91361124MA365RR009,1991-01-04,集体所有制,余顺金,"4.23万人民币","主营:其它食品、日用杂货兼营:针织纺织品、日用百货、五金交电（不含彩电）农药化肥农用薄膜、柴油煤油",江西,上饶,"江西省上饶市铅山县鹅湖"
中国农业银行股份有限公司吉水万龙支行,91360822862115565R,1991-01-05,N/A,周雄,"N/A","吸收公众存款；发放短期、中期、长期贷款；办理国内外结算；办理票据承兑与贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事同业拆借；从事银行卡业务；提供信用证服务及担保；代理收付款项；提供保管箱服务；代理资金清算；各类汇兑业务；代理政策性银行、外国政府和国际金融机构贷款业务；贷款承诺；组织或参加银团贷款；外汇存款；外汇贷款；外汇汇款；外币兑换；国际结算；外汇票据承兑和贴现；外汇担保；代理发行、代理买卖股票以外的外币有价证券；买卖、代理买卖外汇；结汇、售汇；代客外汇买卖；外汇信用卡发行；代理国外信用卡的发行及付款；资信调查、咨询、见证业务；企业、个人财务顾问服务；证券公司客户交易结算资金存管业务；企业年金托管业务；代理开放式基金业务；个人黄金买卖业务；电话银行、手机银行、网上银行业务；金融衍生产品交易业务；保险兼业代理业务；经国务院银行业监管部门批准的其他业务。",江西,吉安,"江西省吉安市吉水县城龙华中大道920号"
南昌市湾里区建筑工程公司,91360105158542715P,1991-01-05,N/A,程光洪,"20,026(万元人民币)","建筑施工、装饰装璜、园林建筑施工、市政及管网工程（依法须经批准的项目，经相关部门批准后方可开展经营活动）",江西,南昌,"江西省南昌市湾里区工农路2号"
南昌市锅炉设备安装公司,913601051585424597,1991-01-06,N/A,喻斌,"175(万元人民币)","锅炉安装、改造、维修；电梯安装、维修；压力管道、机电设备、空调、暖通、化工石油管道安装工程；钢结构、防腐保温、建筑智能化工程；工业废水、废气及噪声污染防治工程及设备安装；装饰工程；热控调试、消防设施、中小型煤气工程设备、高低压电器设备、线路安装、锅炉水质处理、各种工业设备的化学清洗、工业制冷设备、铁塔安装、无损探伤技术服务；起重设备搬运、吊装（依法须经批准的项目，经相关部门批准后方可开展经营活动）",江西,南昌,"江西省南昌市湾里区幸福路320号"
铅山县石塘供销社,91361124MA365RQQ72,1991-01-07,国有企业,陈燕飞,"12.65万人民币","主营:其它食品、日用杂货兼营:纺织品、针织品、日用百货、五专交电（不含彩电）农药化肥、农用薄膜、柴油机油",江西,上饶,"江西省上饶市铅山县石塘街"
景德镇市房屋建设开发公司,91360200MA35K2WD1E,1991-01-07,N/A,张瑶旺,"2,000(万元人民币)","商品房开发建设",江西,景德镇,"江西省景德镇市珠山区广场北路56号"
江西有色冶炼加工总厂铜制品厂,913611261616921590,1991-01-08,集体所有制,单小春,"70.5万人民币","主营:有色金属铸件、冲压件、电解铜、铜制品。兼营:硫酸锌、硫酸铅、硫酸铜、精铋、金属钴、工作服加工；成品油",江西,上饶,"江西省上饶市弋阳县双亭路"
江西朝辉工程有限公司,91361100759953982Q,1991-01-08,N/A,祝明远,"4,500(万元人民币)","主营:民用住宅建筑、房屋维修；工程内部敷设电路、管道安装、市政工程施工、城市及道路照明工程（以上项目国家有专项规定的凭资质证书或许可证经营）",江西,上饶,"江西省上饶市信州区凤凰中大道670号3幢2-402"
江西省糖酒副食品总公司,91360000158263804T,1991-01-08,N/A,邹竹翚,"1,480.8000(万元人民币)","预包装食品、电子计算机及配件、百货、针纺织品、文化办公机械、电子产品、五金交电、农副产品、摩托车、汽车",江西,南昌,"江西省南昌市东湖区北京西路545号"
中国人民财产保险股份有限公司南昌市湾里支公司,91360105754215067D,1991-01-08,N/A,罗杰,"N/A","财产损失保险、责任保险、信用保险、意外伤害保险、保证保险等人民币保险业务；经国家保险监管机构批准并经其市分公司授权的其他业务(凭经营保险业务许可证经营）（依法须经批准的项目，经相关部门批准后方可开展经营活动）",江西,南昌,"江西省南昌市湾里区翠岩路"
南昌车务段劳动服务公司,91360100723922869G,1991-01-08,N/A,王少青,"50(万元人民币)","货运信息代理；人力装卸搬运；集装箱设备维修；货物计量服务；道路普通货物运输；棉子壳、建筑材料、化工原料（易制毒及危险化学品除外）销售；货物包装；货物寄存；服装加工；设计、制作、发布、代理国内各类广告；自有房屋租赁（依法须经批准的项目,经相关部门批准后方可开展经营活动）",江西,南昌,"江西省南昌市青云谱区南莲路５４４号"
中国银行股份有限公司南昌市叠山路支行,91360100858345819H,1991-01-09,N/A,丁东明,"N/A","吸收存款、发放贷款；办理结算、办理票据贴现、代理发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券；同业拆借；提供信用证服务的担保、办理外汇存款、外汇贷款、外币兑换、外汇汇款、国际结算、结汇、售汇、通过上级行办理代客外汇买卖；代理国外信用卡付款及其总行在中国银监局批准的其他金融业务（以上项目依法需经批准的项目，需经相关部门批准后方可开展经营活动）",江西,南昌,"江西省南昌市东湖区叠山路110号"
江西南昌县三江酱菜制品厂,91360121158631611E,1991-01-09,集体所有制,黄国兴,"11万人民币","蔬菜制品（酱腌菜）(依法须经批准的项目，须经相关部门批准后方可开展经营活动)",江西,南昌,"江西省南昌市南昌县三江大道368号"
中国工商银行股份有限公司新余公园北村支行,91360500859876208H,1991-01-10,N/A,李勇,"N/A","吸收存款；发放贷款；办理结算；办理票据贴现；代理发行、代理兑付、承销政府债券；买卖政府债券；同业拆借；提供信用证服务及担保以及经中国银行业监督管理委员会批准的其它金融业务。",江西,新余,"江西省新余市新钢公园北村55栋一楼"
兴国县土产公司,913607321607610440,1991-01-10,N/A,雷开荣,"352(万元人民币)","农副产品、日用品、食品、日用百货、五金、家用电器、化肥、农机具、农膜、建材",江西,赣州,"江西省赣州市兴国县五福路"
南昌市长航五金机械厂,91360100158348103C,1991-01-11,集体所有制,张光宇,"104万人民币","汽车及摩托车喇叭、蜂鸣闪光器、摩托车及配件、电缆、仪器仪表、五金制造、加工（以上项目依法需经批准的项目，需经相关部门批准后方可开展经营活动）＊",江西,南昌,"江西省南昌市青云谱区新溪桥洪都生活区"
江西省煤田地质局二二四地质队机械修理厂,91360521MA35G3FN6A,1991-01-14,国有企业,朱国阳,"15万人民币","机械零部件、电器维修、加工（依法须经批准的项目，经相关部门批准后方可开展经营活动）*",江西,新余,"江西省新余市分宜县昌山路"
江西省科学器材公司,91360000158263951C,1991-01-14,N/A,余鹤龄,"244(万元人民币)","仪器仪表及设备、电子计算机及零配件、制冷空调设备、照像器材、印刷工业专用设备、打字油印机械、国家统一分配的科技所需物资、建筑材料，太阳能热水器、太阳能工程。自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外。化学试剂、化工原料、家用电器、科研技术服务、装饰材料、房屋租赁。",江西,南昌,"江西省南昌市东湖区北京东路171号"
萍乡市凤凰填料工业公司,913603001591440149,1991-01-17,N/A,尹朋模,"84(万元人民币)","主营:塑料制品，陶瓷制品，化工填料，模具制造。兼营:(依法须经批准的项目,经相关部门批准后方可开展经营活动)",江西,萍乡,"江西省萍乡市安源区富丽花园59栋"
兴国县良村供销合作社,913607321607616341,1991-01-20,集体所有制,张海平,"11.4万人民币","化肥、农膜、农机具、日用百货、烟花爆竹零售。",江西,赣州,"江西省赣州市兴国县良村镇"
兴国县兴江供销合作社,91360732160762995J,1991-01-21,集体所有制,汪传金,"14.4万人民币","化肥、农药",江西,赣州,"江西省赣州市兴国县兴江乡"
湖口县电影发行放映公司,9136042915979210X9,1991-01-22,N/A,王敏,"133(万元人民币)","影片发行、电影放映(不含在本公司住所放映)、门店出租（依法须经批准的项目，经相关部门批准后方可开展经营活动）",江西,九江,"江西省九江市湖口县双钟镇大中路23号"
余干县金属回收公司,913611271617333872,1991-01-23,N/A,李文军,"50(万元人民币)","废旧物质回收、购销、拆解（不含老旧汽车拆解）；钢材、建筑材料、机电；（依法须经批准的项目，经相关部门批准后方可开展经营活动）",江西,上饶,"江西省上饶市余干县玉亭镇新建大街134号"
余干瓷土加工厂,91361127MA35YY4A21,1991-01-23,集体所有制,张慧财,"3万人民币","手选瓷土；装卸货物（不含前置许可经营项目）；(依法须经批准的项目,经相关部门批准后方可开展经营活动)*",江西,上饶,"江西省上饶市余干县梅港乡老虎口"
中国工商银行股份有限公司德兴支行,913611818618565805,1991-01-23,N/A,肖孝瑞,"N/A","办理人民币存款、贷款；同业拆借业务；国内外结算；办理票据承兑、贴现、转贴现；各类汇兑业务；代理资金清算；代收代付业务；代理证卷资金清算业务（银证转账）；保险兼业代理业务；保管箱业务；买卖政府债券；金融债券；证券投资基金、企业年金托管服务；企业年金受托管理服务；年金账户管理服务；开放式基金的注册登记认购、申购和赎回业务；资信调查、咨询、见证服务；贷款承诺；企业、个人财务顾问服务；组织或参加银团贷款；外汇存款；外汇贷款；外币兑换；外汇票据承兑和贴现；外汇借款；外汇担保；发行、代理发行、买卖或代理买卖股票以外的外币有价证券；自营、代客外汇买卖；外汇金融衍生业务；银行卡业务；电话银行、网上银行、手机银行业务；办理结汇、售汇业务；经中国银行业监督管理委员会批准的其他金融业务（以上项目国家有专项规定凭许可证或资质经营）",江西,上饶,"德兴市银城中路15号"
上饶宾馆管理有限公司,91361100492190129A,1991-01-23,N/A,周建似,"300(万元人民币)","酒店管理；日用百货、工艺美术品",江西,上饶,"江西省上饶市信州区中山路66号"
