企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
成都乘风出租汽车公司,915101002019218421,1993-01-01,N/A,喻彬,"380(万元人民币)","出租汽车；汽车租赁；摄影、彩扩服务；打字、复印（限分支机构经营）；零售：少数民族服装、工艺品",四川,成都,"成都市金牛区振兴路22号"
四川石油管理局输气公司,91510100901922686W,1993-01-01,N/A,白华,"N/A","天然气。管道工程设计、施工；管道检测技术服务；油田化学助剂",四川,成都,"成都市天府新区华阳广都上街186号"
川铁国际经济技术合作有限公司,915101006331073341,1993-01-01,N/A,王文圣,"16,300(万元人民币)","承包本行业境外工程和境内国际招标工程，独立承包境内新建、扩建各级铁路大中型建设项目综合性工程施工，自营和代理商品及技术的进出口业务（除国家限制品）、向境外派遣各类劳务人员",四川,成都,"成都市金牛区金府路88号1栋15-18层"
华润四川医药有限公司,915101002019076295,1993-01-01,N/A,张宁,"5,600(万元人民币)","麻醉药品和第一类精神药品、第二类精神药品、生化药品、中药材、中药饮片、生物制品（不含预防性生物制品）、化学原料药、抗生素原料药、中成药、化学药制剂、抗生素制剂、生物制品（一类疫苗、二类疫苗）。销售：五金交电及配件、化工产品（不含危险品）、照明器材、办公用品",四川,成都,"成都市青羊区少城路37号"
成都三电股份有限公司,91510100201943523Y,1993-01-01,N/A,李洪,"6,353.2400(万元人民币)","制造、加工、销售：电线电缆；本企业自产机电产品、成套设备及相关的技术出口业务；生产科研所需的原辅材料、机械设备、仪器仪表、备品备件、零配件及技术的进口业务；批发、零售：金属材料",四川,成都,"成都市宏济新路2号"
成都凯迪精工科技有限责任公司,91510100201933691X,1993-01-01,N/A,田平,"1,500(万元人民币)","航空、航天等风洞试验模型、地面综合保障设备、机载部附件、飞机结构件的研制、生产、销售；无人机、无人机部件及配套产品的研发、销售；复材制作的研发、销售；机械、电子、仪器仪表的新技术、新工艺、新产品的技术开发、计算机应用及软件的开发、非标设备的设计、试制、生产加工；机械、电子节能环保产品的研制、生产、销售及技术咨询、技术转让；模具设计与加工，销售自研自制产品。",四川,成都,"成都市武侯祠大街89号"
成都市市政开发总公司,915101007160017898,1993-01-01,N/A,李季,"2,000(万元人民币)","道路、桥梁、排水工程、土地整理、土石方工程、路面工程、市政工程、公路工程。室内装饰；绿化工程和交通安全设施施工；城市及道路照明工程、管道工程、公路路基工程、房屋建筑；园林绿化；建筑材料销售及租赁、建筑材料加工",四川,成都,"成都市锦江区红星中路一段9号"
中国农业银行股份有限公司成都武科支行,91510100730229085H,1993-01-01,N/A,肖丽莉,"N/A","吸收公众存款；发放短期、中期和长期贷款；办理国内外结算；办理票据承兑与贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事同业拆借；从事银行卡业务；提供信用证服务及担保；代理收付款项及代理保险业务。经国务院银行业监督管理机构批准的其他业务；按规定经中国银行业监督管理委员会批准或有权上级行授权开办的其他业务。",四川,成都,"成都市武侯区兆景路504号1层"
成都交大工程技术建设开发有限公司,91510100201988297L,1993-01-01,N/A,张国松,"800(万元人民币)","房地产开发经营、建筑与道桥工程设计与施工、建筑装饰与园林设计与施工、建设监理、建筑建辅材料销售。",四川,成都,"成都市金牛区交大路18号"
成都市建筑设计研究院装修工程公司,91510100201950491C,1993-01-01,N/A,余冰,"100(万元人民币)","建筑装饰装修的设计与施工、园林绿化工程施工。",四川,成都,"成都市青羊区东二巷2号"
四川省成都进出口公司物资公司,915101002019566232,1993-01-01,N/A,李懋阳,"1,000(万元人民币)","仅供清理本企业债权债务使用。",四川,成都,"成都市锦江区青石桥北街25号"
成都华西宾馆有限公司,91510100621603744A,1993-01-01,N/A,彭宏斌,"617(万元人民币)","宾馆、饭馆；中餐",四川,成都,"成都市南一环路三段13附1号"
中国三优集团西南医药研究院,91510100201944446U,1993-01-01,N/A,杨玲,"2,000(万元人民币)","生化制品、中医药、保健食品及用品、医疗器械的研制、开发、技术服务、成果转让、中药材种植。与优生优育优教相关的技术服务，成果转让，化工产品",四川,成都,"成都市高新区工业园科园一路三号"
成都市欣惠通商贸有限责任公司,91510107201944008C,1993-01-01,N/A,余耀钢,"50(万元人民币)","销售饲料、建筑材料、五金交电、日用百货、针纺织品、服装鞋帽、钟表眼镜、汽车零部件，房屋租赁。",四川,成都,"成都市武侯区棕北小区棕竹街8、10号"
成都华本电脑空调冷冻工程有限责任公司,91510100201959082Q,1993-01-01,N/A,陈治清,"308(万元人民币)","空调冷冻技术开发、技术服务、成果转让、空调冷冻工程和装修的设计、安装、维修",四川,成都,"成都市金牛区星辉中路16号星辉大厦523-525室"
