企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
煤炭工业平顶山选煤设计研究院有限公司,91410400171766449R,1993-01-01,N/A,张梦彪,"1,360(万元)","国内外工程勘测、咨询、设计、监理，承包境外煤炭行业工程的勘测、咨询、设计和监理项目；技术服务，信息服务，新产品开发，房屋租赁。",河南,平顶山,"平顶山市新华区建设路西段281号"
濮阳市银源工贸有限公司,9141090017403274XY,1993-01-02,N/A,李兰英,"81(万元)","销售：化工产品",河南,濮阳,"濮阳市市辖区黄河路与金堤路口向西"
平顶山煤业(集团)十矿建筑公司,91410400171807618A,1993-01-02,N/A,刘春花,"600(万元)","房屋建筑工程施工总承包叁级(凭资质证书)；房屋维修；零售：建筑材料。******",河南,平顶山,"平顶山市卫东区十矿院内"
河南建达工程咨询有限公司,9141010516995968XJ,1993-01-04,N/A,蒋晓东,"500(万元)","房屋建筑工程监理，市政公用工程监理，工程招标代理，建设工程项目管理及技术咨询，公路工程监理乙级，机电安装工程监理乙级，化工石油工程监理乙级。",河南,郑州,"郑州市文化路97号"
南阳市宛城区茶庵供销社盆窑综合部,91411302MA3X756H1W,1993-01-04,集体分支机构(非法人),杜思平,"N/A","预包装食品、散装食品、乳制品（不含婴幼儿配方乳粉）、小百货、日杂零售；烟花、爆竹零售*",河南,南阳,"南阳市宛城区盆窑街"
巩义市中泰耐火材料有限责任公司,91410181170490487G,1993-01-06,N/A,王建华,"1,200(万元)","耐火材料生产与销售；窑炉工程施工。",河南,郑州,"巩义市大峪沟镇钟岭村"
洛阳新友谊大酒店有限责任公司,91410300614400746R,1993-01-08,N/A,崔福山,"1,000(万元)","住宿（凭特种行业许可证、卫生许可证经营），餐饮服务（含凉菜、不含裱花蛋糕、不含生食海产品）（凭餐饮服务许可证、卫生许可证经营），卷烟、雪茄烟的零售",河南,洛阳,"洛阳市涧西区西苑路付6号"
许昌市建安区华丰商贸有限公司,91411023174436875W,1993-01-08,N/A,张咏杰,"500(万元)","汽车配件，金属材料，建材，家电，服装，鞋帽，二类机电，土产，日杂的销售",河南,许昌,"许昌市文峰路南段"
郑州华侨友谊商业管理有限公司,91410100614704192T,1993-01-12,N/A,何晓,"2,000(万元人民币)","商业运营管理；企业管理咨询；房屋租赁。",河南,郑州,"郑州市二七区德化街78号1层06号"
卢氏县磨沟口供销合作社上店综合门市,91411224MA404DMJ7A,1993-01-14,集体分支机构(非法人),张当荣,"N/A","百货、针纺织品、洗涤剂、化妆品、文具、家用电器、五金电料；日杂；副食品及卷烟、雪茄烟、酒、饮料；小件农具、摩托车及配件。",河南,三门峡,"磨沟口乡上店街"
漯河市百高房地产开发有限公司,914111041745784191,1993-01-16,N/A,武阳阳,"800(万元)","房地产开发与经营；房屋工程建筑、土木工程建筑、室内外装饰装修",河南,漯河,"漯河市召陵区黄河路北侧、金门路东侧"
开封市劳保用品有限公司,9141020471569435X9,1993-01-18,N/A,赵超英,"142(万元)","劳保用品、防雨制品、服装、百货、日杂、工业用纱、摩托车、针纺织品、五金交电、水暖器材、家用电器、电缆的销售；劳保用品、防雨制品、防护工具、服装的生产、加工、销售（此项仅限分支机构经营）",河南,开封,"开封市鼓楼区观前街37号"
河南双马纸品包装有限公司,91410882614405985W,1993-01-19,N/A,卫松平,"3,853.4940(万元)","生产、销售各种包装纸箱及纸箱用纸张及相关产品的货物进出口业务（凭备案登记表核准的经营范围经营）",河南,焦作,"沁阳市沁北产业集聚区"
