企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
重庆西南铝铝材生产开发股份有限公司,915001072034326047,1994-01-03,N/A,汪书明,"1,199(万人民币元)","研发、设计、制造、加工、销售：铝合金高频焊管、汽车散热器、农业技术散热器、工程机械散热器、汽车配件（不含发动机生产加工）、空调零部件、铝合金材料、热传输材料；铝及铝加工技术咨询及铝产品开发；货物及技术进出口",重庆,九龙坡,"重庆市九龙坡区西彭镇铝城大道74号"
重庆敦煌制衣有限公司,91500112622193476R,1994-01-03,N/A,姚成俊,"1,000(万)","服装的加工、制造及销售；服饰、鞋帽、针纺织品、百货的销售；服装服饰的设计及开发。",重庆,渝北,"重庆市渝北区回兴街道两港大道228号2幢"
重庆嘉陵镜具有限责任公司第二分公司,91500103202867569W,1994-01-04,N/A,唐德美,"N/A","镜具，轴承，五金工具，线路建筑用金属制品，花线，胶质线，低压电器及元件，家用电器，日用百货。",重庆,渝中,"重庆市渝中区民族路17号"
重庆市富源商贸公司,915001122035272751,1994-01-04,N/A,刘恩贵,"54(万人民币元)","销售：金属材料（不含稀贵金属），五金，交电，建筑材料，化工产品",重庆,渝北,"重庆市渝北区两路胜利路61号"
重庆钢兴减速机制造有限公司,91500105203025304W,1994-01-04,有限责任公司,安小旭,"50万人民币","减速机成套设备制造,机械加工,机械木模加工,汽车配件,摩托车配件加工,橡胶制品加工,锻造,铸造.",重庆,江北,"重庆市江北区建新西路22号"
重庆市北碚区歇马红元机械配件厂,915001099032476024,1994-01-04,个人独资企业,蒋昌元,"N/A","制造、销售汽车配件、摩托车配件、金属配件、塑料配件、电子元件；销售钢材.[经营范围中属于法律、行政法规禁止的不得经营；法律、行政法规规定需经批准的项目，应当依法经过批准后方可经营]*",重庆,北碚,"重庆市北碚区歇马镇小湾村瓦厂湾"
重庆市万州区木易杨木制品有限公司,91500101559023668R,1994-01-04,N/A,杨宇,"120(万)","生产、销售：木制包装制品",重庆,万州,"重庆市万州区九池乡黄梅村5组"
重庆容方建筑工程有限公司,91500106203070711C,1994-01-05,N/A,伍振,"68(万人民币元)","批发、零售：装饰材料、建筑材料(均不含危险化学品)、金属材料（不含稀贵金属）、五金、交电、电器机械及器材、汽车零部件、摩托车及零部件、工程机械、日用杂品（不含烟花爆竹）",重庆,沙坪坝,"重庆市沙坪坝区汉渝路153-7-3号"
重庆市千代广告策划有限公司,91500105203041582W,1994-01-10,N/A,范星,"30(万人民币元)","设计、制作、发布路牌、灯箱广告，代理制作广告。(在广告经营许可证核准期限范围内从事经营)",重庆,江北,"重庆市江北区洋河花园13号11-1"
重庆国贸海发进出口贸易有限公司,91500105202824219Y,1994-01-10,N/A,颜攀,"2,000(万)","代理重庆国际贸易集团有限公司从事我国对外经济援助项目工程所需的设备，材料的出口，建筑材料、装饰材料、化工产品及原料(不含化学危险品)，汽车零部件，摩托车及零部件，普通机械，电子产品，五金，交电，百货，针纺织品，日用杂品（不含烟花爆竹），电子计算机及配件，农副产品(不含粮食)；代办货物运输",重庆,江津,"重庆市江津区珞璜工业园园区大道99号2204室"
重庆宏宇国际航空服务有限公司,91500105009284898R,1994-01-10,N/A,龙耀,"150(万)","国际航线或香港、澳门、台湾航线的航空客运销售代理业务，民用航空国内客运销售代理业务",重庆,江北,"重庆市江北区建新北路65号"
重庆丰港电气工程技术公司,91500103203322077H,1994-01-10,N/A,李欣,"100(万人民币元)","销售电工器材、照明器材、建筑材料、电子产品、仪器仪表、化工产品（不含化学危险品）、通讯设备",重庆,渝中,"重庆市渝中区聚兴村2号7-6"
重庆东升能源有限责任公司,91500109203218480B,1994-01-12,N/A,李想,"218(万)","零售：柴油、含二级易燃溶剂的油漆、辅助材料及涂料；房屋租赁；场地租赁；市场物业管理、门面及摊位出租；销售润滑油、钢材、建筑材料、日用生活杂品、汽车配件、摩托车及配件、农副产品、仪器仪表及成套、五金工具、百货、服装；由具备经营权的分支机构经营：汽油、柴油、煤油。[依法须经批准的项目，经相关部门批准后方可开展经营活动]",重庆,北碚,"重庆市北碚区云泉路104-4-2号"
重庆市南岸区顺通橡胶塑料制品厂,92500108MA5XRGC03A,1994-01-13,个体工商户,钟德宇,"N/A","橡胶、塑料制品制造、销售。",重庆,南岸,"重庆市南岸区南山街道新力村新市场"
重庆华洋建筑智能化工程有限公司,915001122028644568,1994-01-13,N/A,周流,"500(万)","安装、销售：报警器材及监控设备；销售：电子产品及通讯设备",重庆,渝北,"渝北区龙溪花卉东路28号"
巫溪县粮油总公司,915002387453015457,1994-01-14,N/A,崔廷琼,"146(万)","粮油及制品。百货、五金、交电、建工建材。",重庆,巫溪,"重庆市巫溪县城厢镇天宁寺22号"
重庆市万州区项氏商贸有限公司,915001017116856595,1994-01-15,N/A,张孟群,"600(万)","批发预包装食品；普通货运。",重庆,万州,"重庆市万州区沙龙路宏远市场8区7号门面"
重庆市田野环境工程有限公司,91500105622009202R,1994-01-17,N/A,张崇梅,"500(万)","环境污染治理(甲级)",重庆,江北,"重庆市江北区兴隆路30号附3号21-13"
重庆金牛食品包装机电设备公司,9150010720314512X0,1994-01-19,N/A,黄文刚,"31.8000(万人民币元)","普通机械、电器机械及器材。化工产品及原料",重庆,九龙坡,"重庆市九龙坡区石桥铺石新路山林村"
重庆柏树房地产开发有限公司,91500115450483687P,1994-01-20,N/A,彭永波,"4,000(万)","房地产开发（二级）、物业管理（凭资质证书执业）；批发兼零售：金属材料（不含锑、锡及矿产品、稀贵金属）、五金、建材、电工器材（不含国家专控商品）、陶瓷制品、水暖器材、照明电器、家用电器、涂料、日用百货、平板玻璃、汽车配件（以上范围依法须经批准的项目，经相关部门批准后方可开展经营活动）",重庆,长寿,"重庆市长寿轻化路南江村"
重庆新桥实业总公司包装公司,91500106450440548B,1994-01-20,N/A,吴昌英,"55.0100(万人民币元)","包装装潢印刷（按许可证核定事项和期限从事经营)；普通货运",重庆,沙坪坝,"重庆市沙坪坝区覃家岗街道新桥村金竹经济合作社金竹仓库"
重庆市北碚区恒达机械配件厂,915001092032473376,1994-01-20,个人独资企业,陶建华,"200万人民币","机械配件制造、加工；零售机械配件、五金交电、建材",重庆,北碚,"重庆市北碚区歇马镇卫星村皂角树社"
重庆天人工业(集团)有限公司,9150010562201145XU,1994-01-20,N/A,龚正,"3,450(万)","财务、人力、技术管理的咨询服务；企业形象策划；企业营销策划；制造、销售汽车零部件",重庆,江北,"重庆市江北区海尔路886号"
重庆市武隆区民用爆破器材公司,91500232208804040Q,1994-01-22,N/A,黄永红,"730(万)","民用爆炸物品销售",重庆,武隆,"重庆市武隆区巷口镇芙蓉西路82号"
重庆中臣商贸公司,91500103202937694H,1994-01-24,N/A,周飞,"58(万)","销售五金，交电，化工（不含化学危险品），建筑材料，金属材料（不含稀贵金属），电子产品及通信设备（不含无线电发射设备），日用杂品，百货",重庆,渝中,"重庆市渝中区两路口长江一路1号中华广场15-2#"
中国银行股份有限公司重庆永川人民广厂行,915001187428971017,1994-01-24,N/A,杨戈,"N/A","办理人民币存款、贷款、结算；办理票据贴现；代理收付款项；经中国银行业监督管理委员会等监管部门批准的其他业务。",重庆,永川,"重庆市永川区人民东路201、203、205、207、209号"
重庆工业设备安装集团有限公司第三分公司,91500000902891332K,1994-01-25,N/A,赖安军,"N/A","金属构件制造，销售建筑材料（不含危险化学品）、金属材料",重庆,渝中,"重庆市渝中区中山二路99号"
綦江县石壕供销合作社餐旅馆,91500222MA5UECDM55,1994-01-25,集体经济,杨正芳,"3万人民币","住宿（按许可证核定事项和期限从事经营）*",重庆,綦江,"重庆市綦江区石壕镇街上"
中国建设银行股份有限公司重庆北碚碚峡路支行,91500109745302548J,1994-01-25,N/A,蔡庆东,"N/A","许可该机构经营中国银行业监督管理委员会依照有关法律、行政法规和其他规定批准的业务，经营范围以批准文件所列的为准。",重庆,北碚,"重庆市北碚区渔塘湾251-1号"
重庆市长寿区智能工贸公司,915001154504835999,1994-01-26,N/A,袁榕,"30(万)","养殖、销售：蜜蜂（仅限30箱以下）、蛋禽（仅限2000只以下）、肉禽（仅限3000只以下）、生猪（仅限100头以下）；农业种植（国家有专项规定的除外）；零售兼批发、代购、代销：钢材、水泥、建筑装饰材料（不含油漆）、化工产品(不含国家专控商品和化学危险品)、百货、纸张、日用杂品（不含烟花爆竹）、国家政策规定允许经营的农副产品(以上范围法律、法规禁止的不得经营，法律、法规规定需审批许可的，未取得有关审批许可不得经营)",重庆,长寿,"重庆市长寿区凤城镇体育村银河大厦"
重庆市万州区兆丰广告装饰工程公司,91500101711685210E,1994-01-26,N/A,吕伟,"100(万)","广告设计、制作，发布户外广告，店堂广告；代理电视、报刊广告。室内外装饰工程、房地产策划服务。计算机经销，网络工程,建材及装饰材料、电脑技术培训。",重庆,万州,"重庆市万州区王牌路422号"
重庆工业设备安装集团有限公司自控工程分公司,91500000902891316X,1994-01-27,N/A,张伟,"N/A","销售建筑材料、化工产品（不含危险化学品）、金属材料",重庆,渝中,"重庆市渝中区中山二路99号"
重庆工业设备安装集团有限公司第七分公司,91500000902857679T,1994-01-27,N/A,杜文,"N/A","为所隶属企业法人承接其建筑资质范围内的业务，销售电线电缆、机电设备、建筑材料及化工产品（不含危险化学品）、金属材料",重庆,沙坪坝,"重庆市沙坪坝区小龙坎新街74-1-20-13号"
重庆工业设备安装集团有限公司第五分公司,91500000X22023449T,1994-01-27,N/A,曾鹏飞,"N/A","金属材料加工（不含稀贵金属），销售建筑材料",重庆,渝中,"重庆市渝中区袁家岗76号"
重庆建发物资公司,91500107203137699C,1994-01-27,N/A,张国建,"50(万)","销售金属材料(不含稀贵金属)、建材",重庆,九龙坡,"重庆市九龙坡区石桥铺石杨路4号3-4-3＃"
重庆工业设备安装集团有限公司第八分公司,915000009031439775,1994-01-27,N/A,朱晖,"0(万人民币元)","金属材料加工及销售（不含稀贵金属），销售建筑材料、化工产品",重庆,渝中,"重庆市渝中区大坪支路8号"
重庆神力起重设备有限公司,91500107203026235H,1994-01-27,N/A,申文碧,"100(万)","销售起重设备、通用机械、电气机械及器材、金属材料（不含稀贵金属）、化工产品（不含危险化学品及一类易制毒品）、五金、电工器材、通信设备（不含无线电发射和接收设备）、橡胶制品、建材",重庆,九龙坡,"重庆市九龙坡区朝田村218号1楼C-14"
重庆市鑫格建筑工程有限公司,915001132028247102,1994-01-28,N/A,李伟,"10,080(万)","房屋建筑工程施工总承包壹级、市政公用工程施工总承包壹级、土石方工程专业承包壹级、建筑装修装饰工程专业承包壹级；公路工程、水利水电工程",重庆,巴南,"重庆市巴南区鱼洞巴县大道63号3-1，5-1"
