企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
青岛天高装饰工程有限公司,91370202264706576B,1997-01-01,N/A,杨越杰,"100万元","一般经营项目:装饰装潢。制冷空调安装。批发、零售、代购、代销：制冷空调，机电设备，日用百货，文体用品，服装鞋帽，五金、交电，化工产品",山东,青岛,"山东省青岛市市南区燕儿岛路23号3号楼1203户"
鄄城县古泉贸易公司第三五交化门市部,91371726796177011H,1997-01-01,N/A,冯纪臣,"N/A","五金交电、",山东,菏泽,"鄄三路中段路东"
中国银行股份有限公司临沂分行,91371300868255630E,1997-01-01,N/A,周曙光,"N/A","经营中国银行业监督管理委员会依照有关法律、行政法规和其他规定批准的业务，经营范围以批准文件所列的为准。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。",山东,临沂,"兰山区沂蒙路228号"
东胜精攻无棣石油开发有限责任公司,91371623726717289Y,1997-01-01,N/A,严进荣,"18398万人民币","石油、天然气勘探、开发及产品销售；钻采设备技术服务(依法须经批准的项目，经相关部门批准后方可开展经营活动)。",山东,滨州,"无棣县柳堡镇"
青岛光华电子技术有限公司,91370212264706509W,1997-01-01,N/A,赵玉晶,"100万元","防盗门、电子智能系统调试、安装。",山东,青岛,"山东省青岛市崂山区苗岭路36号国际发展中心2号楼1206户"
青岛乐佛电子技术开发有限公司,91370203264706533C,1997-01-01,N/A,郭栋,"50万元","综合布线、计算机软件开发、硬件维修、网络工程；批发、零售：电子仪器、电器设备、办公用品、日用百货、计算机及配件、计算机软件；组装计算机。 ",山东,青岛,"市北区辽宁路226号305室"
青岛嘉禾电器有限公司,91370203264611809X,1997-01-02,N/A,徐中明,"200万元","批发、零售：家用电器、五金交电、化工产品（不含危险品）、机电产品、钢材、建筑装饰材料、日用百货、办公用品、密封件、橡胶制品、家具、通讯器材",山东,青岛,"青岛市四方区人民路30号甲-2"
青岛同文工贸有限公司,91370213264735991J,1997-01-02,N/A,吕建明,"50(万)","一般经营项目:制造加工：工艺品（不含电镀），服装鞋帽，五金，模具",山东,青岛,"青岛市李沧区合川路15号"
青岛市崂山区于哥庄宋家液化气有限公司,91370212264800984K,1997-01-02,N/A,宋强,"200(万)","液化石油气、燃气用具零售",山东,青岛,"山东省青岛市崂山区沙子口街道于哥庄社区"
青岛雅兰商务有限公司,913702022647202041,1997-01-02,N/A,刘连刚,"50万元","批发零售：水暖器材，热水器，五金交电，电工器材，建筑材料，装潢材料，化工产品",山东,青岛,"市南区大尧三路13号1单元602户"
青岛江家土寨液化气有限公司,91370212264800976Q,1997-01-02,N/A,王承波,"12万元","零售：液化石油气",山东,青岛,"山东省青岛市崂山区王哥庄街道江家土寨社区"
交通银行股份有限公司青岛胶州支行,9137028171808977X4,1997-01-02,N/A,刘春书,"N/A","代理：中国保监会批准的财产保险和人身保险",山东,青岛,"青岛胶州市福州南路9号"
青岛李沧城建工程有限公司,913702002646104511,1997-01-02,N/A,高松浩,"600(万)","一般经营项目:房屋建筑工程叁级。",山东,青岛,"青岛市李沧区安平路8号"
