企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
天津市静海县益阳工贸有限公司,91120223735442619J,1998-01-01,N/A,张宝利,"50(万元人民币)","服装制造；棉针织品制造；耐火材料制品制造；起重工具制造；手工具制造；金属材料；五金、交电；日用杂品；日用百货；工艺美术品批发兼零售。( 国家有专营专项规定的按专营专项规定办理）",天津,静海,"天津市静海区静海镇胜利南路43号"
天津凯兴股份有限公司,91120000104208463U,1998-01-01,N/A,韩铁军,"3,000(万元人民币)","服装制造；本企业自产产品及相关技术的出口业务（国家组织统一联合及经营的出口商品除外）；本企业生产、科研所需的原辅材料、机械设备、仪器仪表、零配件及相关技术的进口业务（国家实行核定公司经营的进口商品除外）；经营本企业的进料加工和三来一补业务；服装、帽子、箱包、纺织品、塑料制品的批发、零售业务；普通货运",天津,宝坻,"宝坻区口东镇工业区"
天津市玖强金属制品有限公司,91120223700406781F,1998-01-01,N/A,邢五强,"50(万元人民币)","金属结构、金属门窗、切削工具、金属包装容器、水暖管道零件制造；机械配件加工；铜冶炼。依法须经批准的项目，经相关部门批准后方可开展经营活动）",天津,静海,"静海县大丰堆镇前双柳树村"
天津市静海县前树铜棒制品有限公司,91120223700406773L,1998-01-01,N/A,邢学东,"50(万元人民币)","有色金属压延加工；锁芯制造；机加工；有色金属熔炼；金属材料批发零售；普通货运。",天津,静海,"静海县大丰堆乡前树村"
天津市大邱庄津姿涂料有限公司,911202237413834598,1998-01-01,N/A,王福才,"3,500(万元人民币)","制造：涂料、粘合剂、助强剂(化学危险品及易制毒品除外）。",天津,静海,"天津市静海区大邱庄镇珠峰路1号"
天津市悦华广告有限公司,91120103700403214B,1998-01-04,N/A,唐璐,"50(万元人民币)","设计、制作、代理、发布国内各类广告",天津,河西,"河西区大沽南路873号"
中国工商银行股份有限公司天津友谊路支行,91120103730364535T,1998-01-04,N/A,武艾琳,"N/A","办理人民币存款、贷款、结算业务；办理票据贴现；代理发行金融债券；代理发行、代理兑付、销售政府债券；买卖政府债券；代理收付款项；外币储蓄、外币兑换、外汇存款、外汇贷款、外汇汇款；个人实盘外汇买卖；国际结算；结汇、售汇业务",天津,河西,"河西区友谊路41号大安大厦101室"
天津市亚天商贸有限公司,91120103700408031W,1998-01-04,N/A,刘景鹏,"230(万元人民币)","建筑材料、五金、交电、化工产品及化工材料（危险化学品及易制毒品除外）、机电产品",天津,河西,"河西区解放南路顺驰名都20号楼3门401室"
天津市斯诺克汽车配件有限公司,911201137004028283,1998-01-04,N/A,张玲,"50(万元人民币)","汽车零配件、摩托车零配件、车身附件、车身装饰件、家用电器配件、电器元件、塑料制品、五金工具、机械配件、水晶棒、球制造；晶磁饰品、服装、鞋帽、手套、工艺品、眼镜、床上用品、体育用品、汽车配件、家用电器、电子产品批发兼零售。",天津,北辰,"北辰区欢颜里"
天津市尤尼斯新技术开发有限公司,9112011610306682XY,1998-01-04,N/A,杨治安,"30(万元人民币)","精细化工、机电一体化、电子信息技术开发、转让、咨询、服务；化工",天津,西青,"华苑产业区兰苑路1号华苑科技标准厂房二层220室"
