企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
昆山市玉山镇永强五金精密模具加工厂,92320583MA1N8HBH9L,2005-01-01,个体工商户,陈义杭,"10万人民币","慢走丝、线切割生产。",江苏,苏州,"玉山镇城北四方路11号"
东台市垛南农副产品经营部,91320981769879261W,2005-01-07,个人独资企业,陈金俊,"10万人民币","农副产品（国家有专项审批规定的项目除外）、生物有机肥、动物油脂（工业用油，除危险化学品、监控化学品和剧毒化学品）收购、销售，制管、金属网板加工、销售。",江苏,盐城,"东台经济开发区垛南村一组57号"
东台瑞德工艺品有限公司,91320981769117419W,2005-01-07,N/A,陈燕,"100(万元人民币)","工艺品、纺织品、服装、玩具、日用品、农产品销售（以上项目在该住所内不得设储存及分装），自营和代理各类商品的进出口业务。",江苏,盐城,"东台市梁垛镇临塔村九组66号"
一诠精密电子(南京)有限公司,913201157652838907,2005-01-07,N/A,周万顺,"700(万美元)","从事精密手机震动马达；精密电脑马达及各种类型马达的生产；LCD、LED等新型电子元器件及相关配套产品的生产；销售自产产品；自有房屋及机械设备租赁。",江苏,南京,"南京市江宁开发区苏源大道68号1幢"
东台市东星纺织品有限责任公司,91320981769879237C,2005-01-07,N/A,冯旭东,"50(万元人民币)","纺织品、包装材料、箱包销售，自营和代理各类商品及技术的进出口业务（国家限定企业经营或禁止进出口的商品和技术除外）。",江苏,盐城,"东台市海丰砖瓦厂内"
中铁快运股份有限公司扬州站营业部,91321003785583559L,2005-01-07,N/A,王强,"0(万元人民币)","代理总公司业务。",江苏,扬州,"扬州火车站行李房内"
中国康辉南京国际旅行社有限责任公司大行宫营业部,91320102MA1MMTXP2J,2005-01-07,N/A,潘山,"0(万元人民币)","出境、入境、国内旅游业务。",江苏,南京,"南京市玄武区中山东路293-2号东楼01室"
东台三荣服装有限公司,9132098176987927XL,2005-01-07,N/A,田卫,"200(万元人民币)","服装及纺织面料生产、加工、销售。",江苏,盐城,"东台市海丰镇团北村"
东台市顺行一舟船舶装配厂,91320981770537947A,2005-01-07,个人独资企业,陈义宽,"1000万人民币","船舶辅机、船舶用电子产品及电器组装，船用信号旗、船用救生设备加工，绣品、识别图标、反光材料、游泳器材、船用配件销售，自营和代理各类商品及技术的进出口业务（国家限定企业经营或禁止进出口的商品和技术除外），光伏发电。",江苏,盐城,"东台市范公南路新联桥南"
中国平安人寿保险股份有限公司沛县支公司大屯营销服务部,91320322789926002B,2005-01-07,N/A,户瑞迪,"0(万元人民币)","承保人民币和外币的各种人身保险业务，包括各类人寿保险、健康保险（不包括“团体长期健康保险”）、意外伤害保险等保险业务；办理各种法定人身保险业务；代理国内外保险机构检验、理赔、及其委托的其他有关事宜；证券投资基金销售业务；经中国保监会批准的其他业务。",江苏,徐州,"沛县大屯镇汉景路安泰东区22-23号门面"
上海佳吉快运有限公司赣榆分公司,913207077698843350,2005-01-07,N/A,刘亚君,"0(万元人民币)","货运代理。",江苏,连云港,"赣榆区青口镇华中路装饰城50号"
仪征市化纤旅行社有限公司人民路营业部,91321081784962936C,2005-01-07,N/A,宋乃立,"0(万元人民币)","国内旅游和入境旅游招徕、咨询服务；代办火车票；旅游工艺品零售。",江苏,扬州,"仪征市人民路同乐城门市房48-3号"
