企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
公安县万成置业有限公司,91421022767442584Y,2005-01-01,N/A,曾令龙,"1,000(万)","房屋出租；农贸市场经营管理服务；餐饮服务；儿童游乐场所经营；日用百货、日用杂品（烟花鞭炮除外）、预包装食品、散装食品的购销。",湖北,荆州,"公安县斗湖堤镇孱陵新区孱陵大道以西"
武汉铁云运输有限公司,91420102768090496E,2005-01-02,N/A,彭兑,"20(万元人民币)","提供运输信息及仓储服务（不含化学危险品）。",湖北,武汉,"武汉市江岸区解放大道2020号"
湖北智仁大药房有限公司青康居店,91420107768098009R,2005-01-02,N/A,余建新,"N/A","处方药（禁止类除外）、非处方药（甲类、乙类）、中成药、化学药制剂、抗生素制剂、生化药品（不含冷藏冷冻药品）（连锁）零售；预包装食品销售（不含冷藏冷冻食品）；特殊食品销售（保健食品）（上述项目的经营期限与许可证核定的期限一致）；百货、化妆品销售",湖北,武汉,"武汉市青山区工人村青宜居5栋商网14(1-2"
恩施市宏业绿色产业开发有限公司,9142280176744271XQ,2005-01-03,N/A,皮明谣,"2,450(万)","对茶叶、仓储、医院、学校的经营投资；房地产开发经营。",湖北,恩施,"湖北省恩施市东风大道55号"
来凤满妹贸易有限公司,91422827770766950Y,2005-01-03,N/A,黄心宙,"450(万)","西兰卡普、绣花鞋、鞋垫、针织品、服装、电子产品及民族工艺品销售；技术进出品、代理进出口、货物进出口（不含国家禁止或限制进出口的货物或技术）；酒店项目投资；土家织锦技术的培训及咨询服务。",湖北,恩施,"来凤县翔凤镇接龙桥路"
丹江口市中天铝业发展有限公司,91420381767443763X,2005-01-04,N/A,徐东升,"1,000(万)","铝及铝合金加工、销售；机械电气设备及零配件制造、销售；金属材料(国家有专项规定的除外)、矿产品",湖北,十堰,"丹江口市水都大道238号"
宜昌天峰茶叶开发有限责任公司,914205067674421628,2005-01-04,N/A,杜琼,"300(万元)","茶叶加工、销售（按许可证或批准文件核定内容经营；未取得相关有效许可或批准文件的，不得经营）；农产品购销；进出口业务",湖北,宜昌,"宜昌市夷陵区下堡坪乡下堡坪村2组"
宜昌市解放印章有限公司,914205007371361489,2005-01-04,N/A,张方文,"50(万元)","公、私章刻制；招牌制作++",湖北,宜昌,"宜昌市西陵区环城东路2号"
宜昌东湖水泥有限公司,91420506182614360T,2005-01-04,N/A,黄卫,"109(万元)","水泥生产、销售及本公司水泥包装印制；粉煤灰、烧煤锅炉的炉底渣及其他废渣的收购；陶粒透水环保砖生产、销售。",湖北,宜昌,"宜昌市夷陵区黄花乡黄花场村4组"
中铁隧道集团有限公司武汉分公司,914201065655698353,2005-01-04,N/A,周东勇,"N/A","为本集团公司承接铁路工程施工总承包特级；房屋建筑工程施工总承包壹级；公路工程、市政公用工程施工总承包壹级；土石方工程、隧道工程、桥梁工程、水工隧洞工程、公路路基工程专业承包壹级；爆破与拆除工程专业承包壹级；地质灾害防治工程甲级的业务；科研、设计及技术服务（国家法律法规规定的，凭有效许可证方可经营）",湖北,武汉,"武昌区徐家棚友谊大道510号"
