企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
甘谷县众发养殖专业合作社,93620523MA71R0Q111,2008-04-16,N/A,N/A,"N/A","种畜禽的养殖、繁育、销售，技术培训，病情防疫，饲料供给（凭有效的许可证经营）******",甘肃,天水,"甘肃省天水市甘谷县六峰镇新建大楼二楼"
宕昌县宁海豆制品有限公司,91621223670831591K,2008-04-16,N/A,N/A,"460(万元人民币)","豆制品加工、销售（（依法须经批准的项目，经相关部门批准后方可开展经营活动））",甘肃,陇南,"甘肃省陇南市宕昌县南河乡高桥村"
甘肃兰丰装饰工程有限责任公司,916201026708364649,2008-04-16,N/A,N/A,"200(万元人民币)","建筑智能化工程、弱电工程、水利水电工程、消防工程、安全技术防范工程、室内外装饰装修工程的设计及施工；网络工程、综合布线；建筑材料、装饰材料、金属材料（不含贵稀有金属）、办公用品的批发零售（依法须经批准的项目，经相关部门批准后方可开展经营活动）。",甘肃,兰州,"甘肃省兰州市城关区皋兰路191号"
甘肃科乐自控化成套设备有限公司,9162010267083352XJ,2008-04-16,N/A,N/A,"200(万元人民币)","矿山机械设备、通用机械、专用设备、阀门、电线电缆、家用电器、工业自动化设备、仪器仪表、钢材、化工产品",甘肃,兰州,"兰州市城关区天水南路108号"
天水市合财商贸有限公司,91620500670834055X,2008-04-16,N/A,N/A,"5(万元人民币)","农业机械、二类机电、化工产品",甘肃,天水,"天水市秦州区环城西路南明社区4号"
庆阳市佳康牧业科技有限公司,916210026860643079,2008-04-16,N/A,N/A,"10(万元人民币)","畜牧兽医新技术引进、研发、推广；良种牧草引进、推广；兽药、兽医器械、兽用饲料、饲料添加剂销售；动物（宠物）疫病诊断、治疗、防控、保健服务",甘肃,庆阳,"庆阳市西峰区真宁东路华名城西侧150米处"
肃南裕固族自治县多荣钢务件加工厂,91620721670833132Q,2008-04-16,个人独资企业,N/A,"N/A","钢务件加工、钢件角柱围栏、生产安装、绿化管网工程、承包、水暖管道维修安装、钢务件工程承包（依法须经批准的项目，经相关部门批准后方可开展经营活动）*",甘肃,张掖,"肃南县红湾寺镇康乐路18号"
华池县红太阳洋芋种植专业合作社,93621023MA7451943U,2008-04-16,N/A,N/A,"N/A","洋芋种植、销售***",甘肃,庆阳,"甘肃省庆阳市华池县城壕乡太阳村村部"
兰州艺之源广告装饰有限责任公司,91620104670833351G,2008-04-16,N/A,N/A,"100(万元人民币)","企业形象策划，广告设计、制作；会议礼仪服务；装饰设计及装饰材料的批发零售。",甘肃,兰州,"兰州市西固区西固中路116号"
徽县江源旅游开发有限责任公司,916212276759350581,2008-04-16,N/A,N/A,"30(万元人民币)","旅游开发，旅游产品、农副产品加工，销售；养殖、种植（不含种畜禽）；矿产品购销",甘肃,陇南,"徽县嘉陵镇上滩村"
兰州恒兴交泰物资有限公司,9162010367083379XK,2008-04-16,N/A,N/A,"50(万元人民币)","金属材料（不含贵稀有金属）、建筑材料、装饰材料、化工原料（不含危险化学品）、机电产品",甘肃,兰州,"甘肃省兰州市七里河区西津西路572号西3号楼120室"
天水天佳装饰工程有限公司,91620500670834565B,2008-04-16,N/A,N/A,"10(万元人民币)","室内装饰、装修工程设计、施工。",甘肃,天水,"天水市麦积区桥南办事处楼下7号"
天祝鑫农农副产品购销专业合作社,936206235512758956,2008-04-16,N/A,N/A,"200()","双孢菇种植、农副产品、土特产、农业生产资料（专项审批项目除外）的购销。（依法须经批准的项目，经相关部门批准后方可开展经营活动）＊＊",甘肃,武威,"甘肃省武威市天祝藏族自治县朵什乡茶树沟村"
兰州翔天飞宇网络科技有限公司,91620103670838187G,2008-04-16,N/A,N/A,"500(万元人民币)","系统集成；网站建设；网络工程、视频会议系统工程、多媒体教室工程的设计与安装；建筑智能设备安装（以上各项凭资质证经营）；电脑配装；网络产品、办公用品及耗材的批发零售",甘肃,兰州,"兰州市七里河区西园街道西津东路282号龙林大厦2206室"
甘肃乾元丰路桥工程有限公司,91620122670839665C,2008-04-16,N/A,N/A,"1,000(万元人民币)","公路工程施工、公路路基工程施工、公路路面工程施工、地基与基础工程施工、土石方工程施工、桥梁工程施工、市政公用工程施工、房屋建筑工程施工、建筑装修装饰工程、机械拆除工程施工；沥青混合料的生产、加工及销售；工程机械设备的租赁。",甘肃,兰州,"甘肃省兰州市皋兰县黑石镇和平村西岔沟"
山丹县兴旺仔猪育肥专业合作社,93620725MA73C33D1K,2008-04-16,N/A,N/A,"46()","仔猪、肉猪、肉鸡育肥销售***",甘肃,张掖,"甘肃省张掖市山丹县东乐乡五墩村八社"
兰州中发文化传播有限责任公司,91620103670841570M,2008-04-16,N/A,N/A,"10(万元人民币)","设计、制作、代理、发布广告；企业形象策划",甘肃,兰州,"兰州市七里河区西站街道建西东路147号"
张掖市汇通家电维修有限责任公司,916207026708424933,2008-04-16,N/A,N/A,"10(万元人民币)","家电安装、维修，家电及家电材料、配件的零售。",甘肃,张掖,"张掖市南街（佛城广场由东向西第三栋）"
庆阳市奥顿房地产开发有限公司,91621002670830898B,2008-04-16,N/A,N/A,"1,800(万元人民币)","房地产开发经营（凭资质证经营）；广告设计制作、发布与代理；建筑装饰材料、机械设备、化工产品",甘肃,庆阳,"甘肃省庆阳市西峰区西环路北段"
甘肃威兰阀业有限公司,91620103670835699E,2008-04-16,N/A,N/A,"200(万元人民币)","阀门、通用机械、专用设备、非标准设备、电气仪器、建筑材料、金属材料的批发零售。",甘肃,兰州,"兰州市七里河区晏家坪111号"
庄浪银新装饰材料有限公司,9162082567083272X5,2008-04-16,N/A,N/A,"2,000(万元人民币)","电子信息显示超薄基片、玻璃制品生产、加工、销售，废旧玻璃收购（以上项目国家禁止及需取得专项许可的除外）",甘肃,平凉,"甘肃省平凉市庄浪县水洛镇何马村"
秦安县清泰小杂粮专业合作社,93620522MA71T54Q0H,2008-04-16,N/A,N/A,"N/A","粮食种植、组织采购、供应成员所需的生产资料收购、销售成员产品，开展技术培训和咨询服务***",甘肃,天水,"甘肃省天水市秦安县中山乡观音村"
平凉市振兴运输有限责任公司静宁分公司,91620826670831225M,2008-04-16,N/A,N/A,"N/A","普通货运",甘肃,平凉,"甘肃省平凉市静宁县工业园区物流路鼎元物流院内3号商铺"
甘肃宏信智能科技有限公司,916201026708333866,2008-04-16,N/A,N/A,"1,000(万元人民币)","计算机软硬件、网络设备、通讯设备及电子产品（以上两项不含卫星地面接收设施）、机电设备、电线电缆、五金交电、仪器仪表、建筑材料、矿产品（不含煤炭及特种矿产品）的销售；电子与智能化工程、计算机系统集成、安防工程、工业自动化工程、机电设备安装工程、道路照明工程、管道安装工程及钢结构工程的设计、施工、维检及咨询服务；普通货物运输服务；房屋租赁。",甘肃,兰州,"兰州市城关区甘南路1号"
甘肃德普瑞物资有限公司,91620103670834485E,2008-04-16,N/A,N/A,"500(万元人民币)","通用机械、专用设备、金属材料、建筑材料、五金交电、油漆、涂料、工矿设备及配件、仪器仪表、电线电缆、橡胶制品、标准件、计算机及辅助设备、计算机软件、劳保用品、日用品的批发零售；草原围栏的加工及安装。",甘肃,兰州,"甘肃省兰州市七里河区西津西路572号钢材总部1118号"
兰州天利二手车经营有限责任公司,91620100670835162X,2008-04-16,N/A,N/A,"50(万元人民币)","二手车居间代理、代理车辆年审、汽车装饰",甘肃,兰州,"甘肃省兰州市城关区均家滩161号"
肃南裕固族自治县华鑫矿业开发有限责任公司,91620721670833212C,2008-04-16,N/A,N/A,"150(万元人民币)","矿产品(不含贵金属)、机电产品、建筑材料、装潢材料、五金交电、化工产品销售、金属材料加工、销售",甘肃,张掖,"甘肃省张掖市肃南裕固族自治县祁丰乡"
甘肃苏宁云商销售有限公司天水分公司,916205006708314953,2008-04-16,N/A,N/A,"N/A","家用电器、摄像器材、日用品（不含危险品）、电子产品（不含卫星地面接收设施）、办公设备、通讯器材、（旧）家电回收、家电配件、计算机及辅助设备、自行车、摩托车、助力车、电动车、五金交电、文化用品、工艺礼品、金银饰品、建筑材料（不含油漆）、家居用品、仪器仪表、机电产品（低压电器）、电工电气材料、电梯的销售；信息化系统方案设计、咨询服务；企业管理咨询；旅游信息咨询服务；广告设计、制作、代理；智能卡销售和技术服务；仓储装卸服务（不含危险品）；包装服务；代订酒店；计算机服务（不含互联网上网服务）；公共软件服务；制冷设备、家用电器的安装、维修；场地、柜台租赁；会展服务；企业策划、设计；经济信息咨询；人才培训（仅限企业内部人才培训）。",甘肃,天水,"甘肃省天水市秦州区民主西路10号"
庆城县玉泉黄酒有限责任公司,91621021670845109R,2008-04-16,N/A,N/A,"50(万元人民币)","黄酒生产、销售。",甘肃,庆阳,"庆城县马岭镇(长庆水电厂马岭基地)"
天水阳光丽都电器有限公司,916205006708315404,2008-04-16,N/A,N/A,"50(万元人民币)","家用电器的销售。",甘肃,天水,"甘肃省天水市秦州区民主路65号"
