企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
西安恒泰消防技术有限公司,916101366786220149,2008-09-18,N/A,N/A,"600(万)","许可经营项目：一般经营项目：消防设备的技术检测服务；火灾隐患整改方案的设计及其技术咨询服务；消防法律、法规知识的咨询服务；消防产品的研发、加工、生产、安装、销售及技术服务。",陕西,西安,"西安市雁塔区等驾坡长鸣路东南月登阁村月幸路6号"
绥德县万兴物业管理有限公司,91610826MA6TGTMX07,2008-09-18,N/A,N/A,"300(万人民币元)","许可经营项目：物业管理（叁级）；园林绿化；代办联通公司授权业务。一般经营项目：保洁服务。",陕西,榆林,"陕西省榆林市绥德县龙湾村振兴家园"
西安德鲁克照明工程有限公司,91610104678615287P,2008-09-18,N/A,N/A,"400(万)","许可经营项目：无 一般经营项目：照明工程、建筑智能化工程、电子显示屏安装工程、亮化工程、太阳能系统工程、室内外装饰装修工程的设计、施工及技术服务；灯具、开关、LED产品的销售。(依法须经批准的项目，经相关部门批准后方可开展经营活动)",陕西,西安,"西安市莲湖区劳动南路99号锦绣花庭1幢11001室"
西安博朗置业有限公司,91610104678614743C,2008-09-18,N/A,N/A,"2,000(万)","一般经营项目：房地产开发、销售；物业管理。(依法须经批准的项目，经相关部门批准后方可开展经营活动)",陕西,西安,"西安市莲湖区龙首北路西段9号航天新都小区B座1单元11405室"
西安市长安区书民农产品种植养殖场,92610116MA6UCQE27P,2008-09-18,N/A,N/A,"N/A","农产品种植销售(以上经营范围内凡涉及需要前置审批手续的必须取得前置审批手续后方可经营)",陕西,西安,"西安市长安区斗门镇张旺渠村"
洋县医药有限责任公司马畅零售部,91610723MA6YN3NQ1W,2008-09-18,N/A,N/A,"N/A","中成药、中药饮片、化学药制剂、抗生素、生化药品；(药品经营许可证有效期至2020年4月8日),（依法须经批准的项目，经相关部门批准后方可开展经营活动）。",陕西,汉中,"陕西省汉中市洋县马畅镇马畅街"
西安富威电梯有限公司,91610113678614321E,2008-09-18,N/A,N/A,"510(万)","乘客电梯、载货电梯、杂物电梯、自动扶梯、自动人行道的安装、维修及技术咨询服务；电梯的销售。",陕西,西安,"西安市雁塔区南二环青龙小区都市远景1幢13104号"
米脂县鑫盛工贸有限公司,91610827681595037P,2008-09-18,N/A,N/A,"1,000(万人民币元)","建材、工业盐、食用盐批发零售；农副产品购销；普通货物运输。",陕西,榆林,"陕西省榆林市米脂县银州镇福安路8号"
定边县霄扬农牧业发展有限责任公司,916108256779432547,2008-09-18,N/A,N/A,"120(万元人民币)","奶牛、肉牛养殖；农作物、蔬菜、食用菌种植；鲜奶、生牛肉、生羊肉销售（上述经营范围中国家法律、行政法规和国务院决定规定必须报经批准的，凭许可证在有效期内经营，未经批准不得从事经营活动。）",陕西,榆林,"陕西省榆林市定边县定边县石洞沟乡"
宝鸡市康路蜂产品有限责任公司,916103036779397228,2008-09-18,N/A,N/A,"80(万人民币元)","饮料[瓶（桶）装饮用水类（饮用纯净水）]的生产；蜂蜜收购。",陕西,宝鸡,"宝鸡市金台区金陵路38号1号住宅楼一层北"
吴起顺达工贸有限责任公司,9161062667794947XH,2008-09-18,N/A,N/A,"1,500(万)","石油技术服务；泥浆材料、五金、劳保用品、百货、生活用品、办公用品、野营活动房、彩钢房、建材销售；石油钻井、固井、压裂。(以上经营范围凡涉及国家有专项专营规定的从其规定)",陕西,延安,"陕西省延安市吴起县长征中学上洼"
西安庆辉工贸有限公司第一分公司,91610112MA6U2UKG61,2008-09-18,N/A,N/A,"N/A","工矿机械设备配件、五金机电、金属铸件、水泵、风机、金属材料、建筑装饰材料、阀门、管件、电缆、电器的销售；普通机械配件的加工。(以上经营范围除国家规定的专控及前置许可项目)",陕西,西安,"西安市未央区团结村团结工业园新区5号"
凤县振江工贸有限责任公司汽车队,91610330MA6TGYJEXC,2008-09-18,N/A,N/A,"N/A","普通货物运输",陕西,宝鸡,"凤县双石铺镇草店村"
西安市开源市政物资有限公司,91610104678615041M,2008-09-18,N/A,N/A,"500(万)","一般经营项目：沥青及沥青制品（除专控及易燃易爆危险化学品）；建筑材料、金属材料（除专控）、水泥制品、劳保用品、机电设备、建筑工程机械的销售。",陕西,西安,"西安市莲湖区永兴路16号"
西安丰业汽车空调配件有限公司,916101126786201663,2008-09-18,N/A,N/A,"300(万)","汽车空调零部件的加工及维修；汽车修理；汽车空调配件、汽车配件、电器辅料、电瓶、轮胎、机油、冷媒、润滑油的销售；汽车空调、特种车空调的研发、设计、生产、销售、售后服务及维修；普通机械加工；钣金件及机械零部件的加工。",陕西,西安,"西安市未央区未央宫街道办李下壕村路西南8号"
西安俊意汽车运输服务有限责任公司汽修厂,91611105678621062G,2008-09-18,N/A,N/A,"N/A","汽车修理",陕西,西安,"西安市沣东新城三桥街办天台八路18号"
西安广顺物业管理有限公司,916101316786172071,2008-09-18,N/A,N/A,"50(万)","许可经营项目：一般经营项目：物业管理；房屋的销售、租赁、装饰装修；房地产信息中介服务；房地产广告的策划、代理及信息咨询服务。",陕西,西安,"西安市高新区锦业路69号A区中邦生物大厦4层401室"
榆林市榆阳区永乐镁合金有限公司,91610802677933320B,2008-09-18,N/A,N/A,"1,000(万元人民币)","金属镁合金生产销售。",陕西,榆林,"陕西省榆林市榆阳区牛家梁镇常乐堡永乐煤矿院内"
定边县白泥井镇助民大棚蔬菜专业合作社,93610825691140300R,2008-09-18,N/A,N/A,"N/A","大棚蔬菜设施建设及种植服务；种苗培育；化肥、农膜、农机具、大棚材料销售；瓜果蔬菜、马铃薯种植、加工、储藏、购销；水肥设施设备销售及安装**（依法须经批准的项目，经相关部门批准后方可开展经营活动）",陕西,榆林,"陕西省榆林市定边县白泥井镇海子梁村"
延安荣智石油钻井工程技术服务有限公司,91610600677932889B,2008-09-18,N/A,N/A,"500(万)","许可经营项目：石油钻井（许可证有效期至2018年05月17日）。 一般经营项目：修井工程技术服务；煤炭销售。",陕西,延安,"陕西省延安市宝塔区百米大道吉安巷"
西安市未央区全新机械加工厂,92611105MA6TW8R456,2008-09-18,个体工商户,N/A,"N/A","机械、模具、板金加工制造。",陕西,西安,"西安市未央区五一村南双风"
蓝田县常兴养殖场,92610122MA6UABXXX5,2008-09-18,个体工商户,N/A,"N/A","蛋鸡养殖、销售。",陕西,西安,"蓝田县洩湖镇陈家沟村一组"
中油延长石油销售股份有限公司靖边分公司,91610824677932694L,2008-09-18,N/A,N/A,"N/A","受公司委托对本公司成品油经营进行票据结算（依法须经批准的项目，经相关部门批准后方可开展经营活动）",陕西,榆林,"陕西省榆林市靖边县河东荣盛化工停车场"
勉县新辉建材有限公司,91610725677933312M,2008-09-18,N/A,N/A,"100(万人民币元)","页岩砖、瓦生产、销售(以上经营范围凡涉及国家有专项专营规定的从其规定)。",陕西,汉中,"勉县镇川乡新春村"
宝鸡市鸣富商贸有限公司,91610302677936708L,2008-09-18,N/A,N/A,"100(万人民币元)","建材、起重设备、化工原料及产品、水暖阀门、标准件、五金工具、建筑机械、工矿设备、电力器材、电线电缆、电器仪表、水泵、机床配件、劳保用品、日用杂品的销售。(以上经营范围凡涉及国家有专项专营规定的从其规定)",陕西,宝鸡,"宝鸡市渭滨区新建路50号"
西安琛达科技发展有限公司,91610131678614372Q,2008-09-18,N/A,N/A,"500(万)","计算机软硬件的销售、技术服务；计算机网络工程的设计、安装；计算机及耗材、打印机及耗材、计算机及外围设备、办公自动化设备、电子产品、电子元器件、机电产品、通讯器材、五金交电、空调设备、高低压控制柜、陶瓷洁具、上下水管材料的销售。(以上经营范围除国家规定的专控及前置许可项目)",陕西,西安,"西安市高新区电子一路西段18号B/C座软件公寓C座15层21501室"
宝鸡市金德盛商贸有限公司,91610303677933304A,2008-09-18,N/A,N/A,"100(万元人民币)","家用电器、制冷设备的安装与维修、化工产品、五金交电、电线电缆、通讯产品、日用百货、劳保用品；计算机软硬件及耗材的销售；旧家电回收。",陕西,宝鸡,"陕西省宝鸡市金台区东风路20号东风佳园1号楼6号"
榆林市金龙航空服务有限公司,91610800677931974K,2008-09-18,N/A,N/A,"50(万元人民币)","航空信息咨询服务。(以上经营范围凡涉及国家有专项专营规定的从其规定)",陕西,榆林,"榆阳区西沙榆兴路20号（金龙宾馆一楼）"
西安市灞桥区建华养殖场,92610111MA6UHC4Y4A,2008-09-18,N/A,N/A,"N/A","生猪养殖**（依法须经批准的项目，经相关部门批准后方可开展经营活动）",陕西,西安,"西安市灞桥区洪庆街道田王村一组"
西安佳通商贸有限公司,916101326786146047,2008-09-18,N/A,N/A,"5,000(万)","许可经营项目： 一般经营项目：石油钻采设备、水处理设备、石油机械设备、建筑机械设备、化工产品及原料(易燃易爆危险品除外）、机电设备（除小轿车）、电子产品、五金交电、仪器仪表、阀门及配件、电线电缆、配电柜、电讯器材、环保设备及材料、汽车配件（不含总成）、钢材、建材（除木材）、石材、橡胶用品、塑料制品、日用百货、劳保用品、办公用品、办公自动化产品、家用电器、土产日杂、水暖器材、金属材料、计算机软硬件、服装、建筑装饰装修材料的销售；建筑工程、管道工程的设计、施工；园林绿化；石油钻井工程技术咨询服务。",陕西,西安,"西安市经济技术开发区凤城五路89号中登家园6幢1单元12907室"
勉县天露水利工程有限责任公司,91610725677933427U,2008-09-18,N/A,N/A,"200(万元人民币)","市政工程、道路工程、土建工程、绿化工程、水利工程、人畜饮水工程承揽；室内外装修装潢。",陕西,汉中,"陕西省汉中市勉县勉阳镇和平路东段"
渭南万源房地产有限公司,916105006779346308,2008-09-18,N/A,N/A,"800(万人民币元)","房地产开发与经营（范围中，法律、法规或国务院规定必须报经批准的凭许可证在有效期内经营）。",陕西,渭南,"陕西省渭南市临渭区西潼路45号"
中油延长石油销售股份有限公司榆林分公司,916108006779326861,2008-09-18,N/A,N/A,"N/A","受公司委托对本公司成品油经营进行票据结算。(以上经营范围凡涉及国家有专项专营规定的从其规定)",陕西,榆林,"陕西省榆林市高新技术产业园区(延长石油集团销售公司榆林销售处)"
咸阳嘉铭建筑安装工程有限公司,91610400677939327T,2008-09-18,N/A,N/A,"50(万元人民币)","建筑安装、建筑装饰、房屋拆迁、门窗加工、园林绿化、土石方工程、地基基础处理、桩基处理、防水处理、不锈钢加工安装、房屋及建筑设备租赁、信息咨询。",陕西,咸阳,"陕西省咸阳市秦都区咸兴路中段"
府谷县荣兴文化旅游开发有限公司,9161082267793151X0,2008-09-18,N/A,N/A,"12,000(万元人民币)","文化旅游景区开发、建设、经营及管理（凭资质经营）；景区内旅游客运服务及配套设施建设；旅游商品开发、销售；文化、体育活动场所和游乐场经营、管理；市政工程建设；房地产开发；绿化、亮化工程；文化广告策划、设计及传播；室内外装璜装饰工程；小超市、小吃制售；预包装食品兼散装食品、乳制品（不含婴幼儿配方乳粉）批发兼零售(以上经营范围凡涉及国家有专项专营规定的从其规定)（依法须经批准的项目，经相关部门批准后方可开展经营活动）",陕西,榆林,"陕西省榆林市府谷县府谷镇高家湾村"
渭南市同盛兴茶文化有限责任公司同盛兴惠园店,916105026779333639,2008-09-18,N/A,N/A,"N/A","茶艺服务",陕西,渭南,"渭南市临渭区朝阳大街中段"
西安昊芯环境技术有限公司,91610131678624327T,2008-09-18,N/A,N/A,"1,000(万)","一般经营项目：环保设备及器材的设计；环保节能工程、污水净化工程、热力工程的设计、施工及技术服务；金属材料表面处理工程的设计及技术服务；工业自动化控制工程的设计、施工、维护及技术服务；五金交电、办公用品、仪器仪表、光机电产品、通讯设备及器材的销售。",陕西,西安,"西安市高新区唐延南路东侧逸翠园西安（二期）第1幢1单元9层10922室"
西安信元网络传媒有限公司,91610131678614612K,2008-09-18,N/A,N/A,"100(万)","企业营销策划；有线电视网络系统设备及产品的销售；通讯设备产品的销售及技术咨询服务；有线电视网络系统维护及技术咨询服务；市场调查；广告代理。(以上经营范围均不含国家规定的前置许可及专控、禁止项目)",陕西,西安,"西安市高新区高新一路6号前进大厦2702室"
西安市阎良区新兴结实养猪专业合作社,9361011456148210XR,2008-09-18,N/A,N/A,"N/A","组织采购、供应成员所需的农业生产资料；开展成员所需生猪的生产经营",陕西,西安,"西安市阎良区新兴街道办屈家村屈南组"
泰康人寿保险有限责任公司陕西西安新兴营销服务部,91610114MA6U1Q9P3M,2008-09-18,N/A,N/A,"N/A","许可经营项目：对营销员进行培训和管理；收取营销员代收的保险费、投保单等；分发公司签发的保险单、保险费收据等相关单证；接受客户的咨询和投诉。(以上经营范围凡涉及国家有专项专营规定的从其规定)一般经营项目：",陕西,西安,"西安市阎良区新兴街道办事处王家组"
榆林市翔宇电子有限公司,91610800677932125B,2008-09-18,N/A,N/A,"500(万元人民币)","计算机网络综合布线；办公自动化设备、LED显示屏、通讯设备、电子产品、五金交电、家用电器、办公文体用品、计算机软件、仪器仪表、教学设备、实验器材、校园广播设备、智能安防设备、考勤设备的销售;打字、复印。(以上经营范围凡涉及国家有专项专营规定的从其规定)",陕西,榆林,"陕西省榆林市榆阳区人民西路南(市征稽处一楼)"
西安江汉建筑机械有限责任公司,91610113678616124T,2008-09-18,N/A,N/A,"60(万)","建筑机械安装、租赁、销售；建筑材料的销售；土石方挖掘。(依法须经批准的项目，经相关部门批准后方可开展经营活动)",陕西,西安,"西安市雁塔区鱼化寨老烟庄"
宝鸡市亚辉工贸有限公司,91610301677938666Y,2008-09-20,N/A,N/A,"50(万人民币元)","机械加工、制造（不含冶炼、铸造）；黑色及有色金属购销。",陕西,宝鸡,"陕西省宝鸡市高新开发区钓渭镇红星村八组"
陕西永明快餐连锁有限公司南二环分公司,91610113678616028H,2008-09-20,N/A,N/A,"N/A","一般经营项目：中型餐馆（中餐类制售、含凉菜、不含裱花蛋糕、不含生食海产品。",陕西,西安,"西安市雁塔区朱雀大街副316号"
陕西广兴副食有限公司,91610000677944169Q,2008-09-20,N/A,N/A,"60(万人民币元)","蔬菜、副食",陕西,西安,"西安市万年路10号明威商务中心202室"
白水县盛隆果业有限责任公司,91610527677935780E,2008-09-20,N/A,N/A,"5,000(万元人民币)","苗木培育、农产品种植、购销、保鲜冷储、水果包装加工、果蔬深加工、进出口贸易、电子商务管理培训、农产品推介、展会展销（依法须经批准的项目，经相关部门批准后方可开展经营活动）",陕西,渭南,"陕西省渭南市白水县北井头乡李家卓村"
陕西圣鸣工贸有限公司,91610000677935123H,2008-09-22,N/A,N/A,"1,050(万人民币元)","金属材料（专控除外）、建筑材料、机电产品、化工产品（易制毒、危险、监控化学品等专控除外）、装饰材料、劳保用品、普通机械设备、石油器材的销售；建筑工程施工；钻井工程设计、施工及技术服务、机械设备、五金机电、架管扣件的租赁。",陕西,西安,"陕西省西安市莲湖区枣园西路308号"
陕西创意文化产业发展有限公司,91610000677937831J,2008-09-22,N/A,N/A,"500(万人民币元)","广告的设计、制作、代理、发布；会展承办；软件、建筑、企业形象设计；印刷包装及设计；美术、摄影、工艺美术品、动漫、游戏的创作；室内外建筑装饰装修工程的设计、施工；企业营销策划；办公用品、计算机软硬件及耗材的销售；经营技术进出口业务（国家限定或禁止进出口的产品和技术除外）。",陕西,西安,"西安市雁塔区太白南路紫薇龙腾新世界1幢22401室"
韩城市洪运农林有限公司,916105816779422002,2008-09-22,N/A,N/A,"20(万人民币元)","机电产品，矿山机械，建工建材，农副产品，电子产品，精煤、焦炭，生铁、铁粉销售；工业设备耗材销售及加工维修。(以上经营范围凡涉及国家有专项专营规定的从其规定)",陕西,渭南,"陕西省韩城市新城区相里堡村"
西安路路通保洁有限公司,91610100678615885R,2008-09-22,N/A,N/A,"500(万)","保洁服务；保洁技术的开发；石材养护、园林绿化养护；烟道清洗、高空清洗；地毯清洁；有害生物消杀技术服务；物业管理、酒店管理；物业维修服务、餐饮服务",陕西,西安,"西安市高新区科技路新科大厦第1幢2单元20702室"
陕西锦绣房地产开发有限公司,916100006779442577,2008-09-22,N/A,N/A,"1,000(万人民币元)","房地产开发、商品房销售；物业管理。",陕西,西安,"陕西省西安市阎良区延安街北段东侧"
陕西神大物流有限公司,916108216779334945,2008-09-22,N/A,N/A,"12,500(万人民币元)","煤炭转运站筹建。",陕西,榆林,"陕西省榆林市神木县锦界工业园区"
陕西轩正元实业有限公司,916100006779382442,2008-09-22,N/A,N/A,"3,000(万元人民币)","房地产开发；物业管理；服装的设计、推广、生产、销售与咨询服务；日用百货、电力设备及成套仪表、电子产品、计算机网络产品、计算机软件及配件、建筑材料、钢材、煤炭机械设备的销售；苗木花卉的种植、销售；园林景观工程的设计、施工；园林绿化。",陕西,西安,"西安市高新区唐延路3号旺座国际城1幢5单元52901室"
志丹县方圆(集团)油气开发有限公司,91610625677934059G,2008-09-22,N/A,N/A,"2,000(万)","石油技术服务：（钻井、压裂、固井、射孔、测井技术服务）、试油气、定向、酸化解堵、洗井溶蜡、管道防腐、调剖工艺技术服务、金属焊接、小型来料加工、石油物资供应销售（以上经营范围凡涉及国家有专项专营规定的从其规定）（依法须经批准的项目，经相关部门批准后方可开展经营活动）",陕西,延安,"志丹县旦八镇"
陕西贤德文化艺术传播有限公司,91610103677937081T,2008-09-22,N/A,N/A,"100(万人民币元)","许可经营项目：。一般经营项目：国内各类广告的设计、制作、发布、代理；文化艺术活动的策划；庆典礼仪活动的设计、实施；室内外装饰装修工程的设计、施工；办公自动化设备、礼品、艺术品（文物除外）的销售。",陕西,西安,"西安市碑林区伞塔路170号兴庆丽景A幢602室"
西安誉言商务咨询有限公司,91610131678619966A,2008-09-22,N/A,N/A,"100(万)","一般经营项目：文化活动的策划",陕西,西安,"西安市高新区科技路金桥国际广场第1 幢11002室"
韩城市鑫通牧业有限公司,916105816779374600,2008-09-22,N/A,N/A,"200(万人民币元)","家禽家畜、獭兔养殖；花椒、核桃收购、加工、销售；花卉、苗木种植及销售；汽车销售及维修；二类机电、煤炭购销；物流信息中介服务（依法须经批准的项目，经相关部门批准后方可开展经营活动）",陕西,渭南,"陕西省韩城市西庄镇寺庄村"
西安百源管理咨询有限公司,916101326786282133,2008-09-22,N/A,N/A,"50(万)","许可经营项目：。 一般经营项目：企业形象策划；企业信息咨询、管理咨询；会议策划及商务咨询；百货及服装销售 。",陕西,西安,"西安市凤城一路中环大厦2-19-G"
兴平市海天快捷酒店有限公司,91610481677933937W,2008-09-22,N/A,N/A,"1,200(万元人民币)","住宿，炒菜、主食、副食、酒类、饮料，茶艺，足疗，会场租赁，会议服务，停车服务，商务服务。",陕西,咸阳,"陕西省咸阳市兴平市槐里路十字西南角"
华阴市逸华天然气有限公司,91610582677934657Q,2008-09-22,N/A,N/A,"200(万元人民币)","管道燃气、汽车加气站（压缩天然气）经营、（燃气经营许可证有效期限至2019年11月28日），管道安装、燃气具的销售安装。",陕西,渭南,"陕西省渭南市华阴市东岳路与东环路十字东北角"
西安维昊光纤通信有限公司,91610113678616722N,2008-09-22,N/A,N/A,"100(万)","光电设备、电线电缆、电子元件、仪器仪表、通讯器材、机电设备、建筑材料、计算机软硬件的销售；计算机网络工程施工；楼宇智能化综合布线。(依法须经批准的项目，经相关部门批准后方可开展经营活动)",陕西,西安,"陕西省西安市雁塔区电子正街南延伸段万象春天DK-6第7幢1单元10层11003室"
安康市汉滨区兆靖畜牧科技有限公司,916109026779340836,2008-09-22,N/A,N/A,"260(万元人民币)","生猪养殖、繁育、销售.（依法须经批准的项目，经相关部门批准后方可开展经营活动）",陕西,安康,"陕西省安康市汉滨区张滩镇余湾村余湾林场张坝路边一组"
深圳市鹏城建筑集团有限公司西安分公司,91610133678616116Y,2008-09-22,N/A,N/A,"N/A","房屋建筑工程施工承包、市政公用工程施工承包、机电安装工程施工承包、水利水电工程专业承包、建筑装饰装修工程专业承包、公路工程施工承包(以上经营范围均不含国家规定的前置许可及专控、禁止项目)。",陕西,西安,"西安市莲湖区北关正街35号方兴大厦1404室"
陕西玉龙房地产开发有限公司延安销售分公司,91610600677936046D,2008-09-22,N/A,N/A,"N/A","一般经营项目：承办本公司房屋销售服务。",陕西,延安,"陕西省延安市宝塔区百米大道政务大厅后院6楼"
泰康人寿保险有限责任公司陕西渭南美原营销服务部,91610528MA6Y28DB4W,2008-09-22,N/A,N/A,"N/A","对营销员开展培训及日常管理；收取营销员代收的保险费、投保单等单证；分发保险公司签发的保险单、保险收据等相关单证；接受客户的咨询、投诉（依法须经批准的项目，经相关部门批准后方可开展经营活动）",陕西,渭南,"陕西省渭南市富平县美原镇西街5号"
铜川同安药业有限公司,91610200677934884M,2008-09-22,N/A,N/A,"100(万元人民币)","原制药厂资产处置。",陕西,铜川,"陕西省铜川市印台区同官路15号"
商洛创想广告装饰有限责任公司,91611000677933339E,2008-09-22,N/A,N/A,"300(万元人民币)","广告策划、设计、制作及发布；装饰工程的设计与施工；广告材料及装饰材料的批发和零售；钢结构工程施工；山地开发，生态农业，旅游观光，园林绿化工程。",陕西,商洛,"陕西省商洛市商州区中心街13号"
安康市汉滨区兴田农牧业有限公司,91610902677933988H,2008-09-22,N/A,N/A,"400(万人民币元)","猪的饲养。",陕西,安康,"陕西省安康市汉滨区大同镇高楼村储备库"
陕西普生机电有限公司,9161011667793709XD,2008-09-22,N/A,N/A,"100(万人民币元)","机械、电子电器",陕西,西安,"西安市长安区杜曲新村甲字2号"
平利县女娲茶叶专业合作社,93610926677937188K,2008-09-22,N/A,N/A,"N/A","茶叶种植、收购、初加工、销售；茶叶机械设备销售；茶叶技术咨询、培训服务；预包装食品及散装食品批发、零售。",陕西,安康,"陕西省安康市平利县长安镇中坝村"
泾阳县喜珠葡萄专业合作社,9361042367794701XA,2008-09-22,N/A,N/A,"N/A","葡萄种植、销售，组织收购、销售成员生产的产品，对成员生产的产品进行粗包装，成员所需生产资料的购买，引进、推广新技术、新品种，开展技术培训、交流、咨询服务。",陕西,咸阳,"泾阳县口镇东街"
