企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
拉萨天珍餐饮有限责任公司,91540125686812133Q,2010-01-05,N/A,N/A,"10(万)","许可经营项目：餐饮、酒水饮料销售、烟草销售。（（上述经营范围中，国家法律、行政法规和国务院决定规定必须报经批准的，凭许可证在有效期内经营））",西藏,拉萨,"拉萨市金珠西路农科院"
西藏正阳工贸有限公司,91540000686811915N,2010-01-05,N/A,N/A,"100(万)","销售高低压成套设备、电线、电缆、电力变压器、箱式变压器、五金机电、电气开关、矿山机械及输送设备、钢材、环保设备、塑胶制品、金具、灯具、服装编织制品、建材【依法须经批准的项目，经相关部门批准后方可开展经营活动】。",西藏,拉萨,"拉萨市天海商业区南区一段10号"
山南乃东区兴盛水泥制品有限公司,91542221686811835K,2010-01-05,N/A,N/A,"500(万)","水泥制品。",西藏,山南,"泽当镇贡布路33号"
西藏凤凰贸易有限公司,91540000686811878G,2010-01-05,N/A,N/A,"100(万)","进出口贸易【依法须经批准的项目，经相关部门批准后方可开展经营活动】。",西藏,拉萨,"拉萨市消防退休基地公寓楼4A-19"
西藏龙腾工程机械有限公司,9154000068681186XG,2010-01-05,N/A,N/A,"100(万)","一般经营项目：租赁、维修、销售工程机械、矿山机械设备、机电产品；销售化工产品（不含危化品）、建辅建材、五金交电；工程信息咨询服务。",西藏,拉萨,"拉萨市堆龙德庆县东嘎村和平路以北"
国网西藏电力有限公司直孔发电公司,91540000686812045X,2010-01-06,N/A,N/A,"N/A","电力生产及供应；机电设备安装、维修、调试。[依法须经批准的项目，经相关部门批准后方可开展经营活动]",西藏,拉萨,"拉萨市当热西路38号附1号"
拉萨琼杰科技有限公司,91540100686812176Y,2010-01-06,N/A,N/A,"1,020(万)","办公耗材、计算机软、硬件、办公自动化设备、数码产品、办公设备、电子显示屏、仪器仪表、计算机机房设计安装、系统集成的销售、公共安全技术、防范技术、工程设计与施工；公安消防救援设备、器材、装备的销售与维护；警用设备、器材、装备的销售与维护；教学设备、仪器的销售与维护、数码设备、产品的销售与维护、亮化照明设备的销售与维护、音响影像设备的销售与维护、五金交电的销售与维护、计算机技术设计、咨询与服务，信息系统集成工程、网络工程、智能化工程、公共安全技术防范工程、计算机机房工程、自动化仓储系统、智能化交通、房屋建筑工程设计与施工、建筑智能化工程设计与施工、通信工程设计与施工、城市及道路照明工程设计与施工、室内外装饰装修工程设计与施工、采供暖工程设计与施工；办公用品、仪器仪表、LED电子显示屏、音像设备、厨房设备、消防设备与装备、通讯设备（不含无线电通讯设备）、橡胶制品、化工产品（不含危险品）、教学仪器设备、实验仪器设备、测量仪器设备、交通设备设施、体育器材、体育场地、文体用品、健身器材、服饰服装、采供暖设备、制供氧设备、应急电源设备的销售；电子信息技术开发、技术服务。【依法须经批准的项目，经相关部门批准后方可开展经营活动】",西藏,拉萨,"拉萨市江苏路军区商品房"
西藏智联网络科技有限公司,915400006868124405,2010-01-07,N/A,蔡建,"100(万)","网络设备维护、系统集成；计算机软件开发，硬件销售。[依法须经批准的项目，经相关部门批准后方可开展经营活动]",西藏,拉萨,"拉萨市曲米路（昌都办事处院内）"
拉萨市鸿瑞工贸有限公司,91540100686812117U,2010-01-07,N/A,毛四平,"200(万)","劳务信息咨询；电子信息、网络工程技术咨询；计算机、办公家具、服装、鞋帽、酒店用品、建筑材料、体育器材、游乐设施及森林消防设备的销售；工程机械租赁及销售；室内装修设计；安监设备、安防监控、教学仪器；太阳能设备；图文设计。【依法须经批准的项目，经相关部门批准后，方可经营。】",西藏,拉萨,"拉萨市巴尔库西侧德康鑫居2栋5单元4F2号"
拉萨宇腾财务咨询有限公司,91540100686812205A,2010-01-07,N/A,苟树梅,"10(万)","财税咨询、顾问；会计、税务代理；工商事务咨询；企业证照代理；企业管理、投资咨询；财务软件、税控机技术咨询服务；办公用品销售。【依法需经批准的项目，经相关部门批准后，方可开展经营活动】",西藏,拉萨,"拉萨市慈松塘东路尼卓苑小区A区1幢2单元3楼1号"
西藏乐福门业有限公司,9154000068681223XJ,2010-01-08,N/A,罗健,"200(万)","门窗、家具加工、销售；销售建辅建材【依法须经批准的项目，经相关部门批准后方可开展经营活动】。",西藏,拉萨,"拉萨市达孜县（虎峰液化气站旁）"
拉萨利西桑环保技术服务有限公司,91540125686812264L,2010-01-11,N/A,张小五,"1,000(万)","单位、工厂、酒店废弃油脂收集处理；隔油池建造及处理；下水管道疏通；油烟机安装及处理；外墙清洗机化粪池清理。[依法须经批准的项目，经相关部门批准后方可开展经营活动。]",西藏,拉萨,"拉萨市堆龙德庆县乃琼镇岗德林四组"
旦增羊毛加工厂,92540229MA6T49EU54,2010-01-11,个体工商户,旦增,"N/A","加工，羊毛*加工，",西藏,日喀则,"康雄乡"
西藏浙龙钢结构有限公司,91540000686812256D,2010-01-12,N/A,张桂伟,"100(万)","销售、安装钢结构、夹芯板、彩钢板。【依法须经批准的项目，经相关部门批准后方可开展经营活动】",西藏,拉萨,"拉萨市空指路金龙巷"
