企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
平安好帮手家政有限公司,91632121074588900J,2014-01-02,N/A,赵海玲,"3(万元)","各项家政服务、保洁、维修、安装；室内外装饰装潢、建筑安装、管道设备安装、建筑物、房屋拆除、外墙保温；道路硬化；亮化工程（涉及许可经营项目，应取得相关部门许可后方可经营）",青海,海东,"青海省海东市平安区平安镇湟源路25号"
青海东正农牧生态建设有限公司,91630103074587123E,2014-01-02,N/A,孙生贵,"200(万元)","种草种树，荒山治理，生态环境绿化，网围栏、鹰巢、鹰架加工安装，草原沙化治理，草原鼠害、虫害防治，化肥销售",青海,西宁,"西宁市城中区昆仑中路101号1号楼1单元1041室"
海北圣湖飞鹰文化旅游产业开发有限公司,916322250745875532,2014-01-02,N/A,代元洪,"500(万元)","旅游项目开发，土特产、纪念品加工销售，自行车租赁，少数民族历史文化挖掘，企事业单位营销策划，工艺美术品，会议会展，旅游文化产业培训，苗木花卉种植和销售，植树造林，工程绿化，果蔬采摘，农产品种植加工和销售；荒山治理；广告设计、制作、发布；新型农牧民职业培训、农牧民职业技能培训。",青海,海北,"青海省海晏县西海镇商业巷38号"
西宁荣彦工程监理有限公司,91630104074588273Y,2014-01-02,N/A,郭瑞萍,"10(万元)","一般经营项目：电力工程监理（凭有效资质证书经营）",青海,西宁,"西宁市城西区海晏路30号2号楼1单元101室"
海北州成森商贸有限公司,916322230745870865,2014-01-02,N/A,王樱,"1,000(万元)","煤炭批发；焦炭、机焦、焦油铁、硅铁、烙铁、橡胶制品、化工产品（不含危险化学品）、矿产品、五金、建材、办公家具、办公用品及耗材；日用百货销售；货运信息服务；房屋租赁；物业管理；普通货物运输；畜产品购销；网围栏配套加工、安装、销售；城镇绿化配套设施产品加工及销售；环保配套产品加工及销售。",青海,海北,"海晏县西海大街交警队家属楼501室"
湖南鸿源电力建设有限公司青海分公司,91630105074586956X,2014-01-02,N/A,龙震,"N/A","为总公司承揽以下业务：送变电工程专业承包贰级；土石方工程专业承包叁级；机电设备安装工程专业承包叁级；铁路电气化工程专业承包叁级；防腐保温工程专业承包叁级；城市及道路照明工程专业承包叁级（凭资质证经营）",青海,西宁,"青海省西宁市城北区海西路萨尔斯堡59-11号商铺"
青海三江电影院线有限责任公司,91630104074587668W,2014-01-02,N/A,赵元明,"200(万元)","电影发行（凭许可证经营）；电影放映；影视设备、音响设备、建筑装饰材料、文化用品、电子元件、儿童玩具销售；广告设计、制作、发布；影院建设；软件销售（上述经营范围依法须经批准的项目，经相关部门批准后方可开展经营活动）",青海,西宁,"西宁市城西区五四大街31号"
海晏县蓝天绿色畜禽养殖繁育有限公司,91632223074587940H,2014-01-02,N/A,靳有兰,"100(万元)","牛羊育肥；牛羊优良品种改良育肥、贩运、饲草料种植加工；畜禽养殖，特色养殖；草原生态建设综合治理；树苗种植及销售；城镇园林绿化建设；草原鼠害防治；农畜产品经销；绿色无公害肉食品销售；天然草地保护与建设（依法经须批准项目，经相关部门批准后方可开展经营活动）",青海,海北,"海晏县金滩乡仓开村仓开社"
民和浩宇农牧有限公司,9163212207459071XE,2014-01-02,N/A,王白家保,"300(万元)","玉米、马铃薯、苜蓿、枸杞种植、销售；牛、羊、生猪养殖、销售；农产品冷藏、保鲜、配送（依法须经批准的项目，经相关部门批准后方可开展经营活动）",青海,海东,"青海省海东市民和县隆治乡永平村二社"
民和县汇盛苗木种植专业合作社,936321220745870353,2014-01-02,N/A,王廷忠,"N/A","各类造林苗木、城镇绿化苗木、经济林苗木、花卉种植、销售；荒山荒坡绿化治理；病虫害防治；为本社成员提供技术服务。",青海,海东,"青海省海东市民和县中川乡清二村5社"
