企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
三明市浩晨信息咨询服务有限公司,91350402MA32DNTU8L,2019-01-02,N/A,邓善评,"100(万元人民币)","信息技术咨询服务；网络与信息安全软件开发；信息安全服务；其他信息系统集成服务；其他未列明信息技术服务；信息处理和存储支持服务；对信息传输、软件和信息技术服务业的投资；互联网零售；广告咨询服务；设计、制作、代理、发布国内各类广告；其他未列明商务服务业；网络与信息安全硬件销售；房地产信息咨询；其他未列明房地产服务；新能源汽车整车销售；汽车新车零售；汽车旧车零售；汽车及配件批发；汽车零配件零售；建材批发；五金产品批发；电气设备批发；计算机、软件及辅助设备批发；其他通讯设备批发；网上贸易代理；五金零售；通信设备零售；其他电子产品零售；企业形象策划服务；策划创意服务；提供企业营销策划服务；文化、艺术活动策划；其他未列明的机械设备租赁服务。",福建,三明,"福建省三明市梅列区乾龙新村16幢三层9、10号"
上杭县辉绿岩砂石加工厂,91350823MA32DR578G,2019-01-02,个人独资企业,陈青云,"N/A","机制砂、碎石加工及销售。",福建,龙岩,"上杭县临城镇龙二环路111号4楼"
三明市创佳信息咨询有限公司,91350402MA32DMWU4C,2019-01-02,N/A,曾显美,"888万元人民币","物联网技术服务;信息技术咨询服务;计算机、软件及辅助设备零售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",福建,三明,"福建省三明市梅列区乾龙新村416幢二十四层2号"
三明市格瑞贸易有限公司,91350402MA32DQTM04,2019-01-02,N/A,庄婷,"100(万元人民币)","电气设备批发；其他机械设备及电子产品批发；首饰、工艺品（象牙及其制品除外）及收藏品批发；灯具、装饰物品批发；木质装饰材料零售；陶瓷、石材装饰材料零售；其他室内装饰材料零售；汽车零配件零售；其他电子产品零售；其他未列明的化工产品销售（不含危险化学品及易制毒化学品）；服装零售；纺织品及针织品零售；其他日用品零售；文具用品零售；乳制品（含婴幼儿配方奶粉）零售；其他散装食品零售（不含国境口岸）；其他预包装食品零售（不含国境口岸）；网上贸易代理；网上商务咨询；信息技术咨询服务。",福建,三明,"福建省三明市梅列区乾龙新村18幢2层201室"
上杭零零九贸易有限公司,91350823MA32DNW01G,2019-01-02,N/A,梁建辉,"85万元人民币","化肥批发(不含危险化学品及易制毒化学品);互联网零售;安全系统监控服务;物联网技术服务;办公服务;基础软件开发;网络与信息安全软件开发;应用软件开发;智能控制系统集成;其他信息系统集成服务;信息技术咨询服务;信息处理和存储支持服务;其他未列明信息技术服务;大数据服务;计算机和辅助设备修理;网络与信息安全硬件销售;其他...",福建,龙岩,"福建省龙岩市上杭县湖洋镇三角塘78号"
上杭县源丰房产中介服务有限公司,91350823MA32DN0H7M,2019-01-02,N/A,吴联初,"3万元人民币","房地产中介服务;网上房地产中介;房地产信息咨询;自有商业房屋租赁服务;住房租赁经营;土地登记代理服务;提供企业营销策划服务;其他未列明房地产服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",福建,龙岩,"上杭县临城镇城北村北园路6-3号(一层1号)"
三明智缘贸易有限公司,91350427MA32DR5M0B,2019-01-02,N/A,江信明,"50万元人民币","鞋帽、日用品、钟表、眼镜、工艺品、服装、文具、针纺织品、玩具、家用电器、箱包、家具、电子产品、办公用品、健身器材、塑料制品、五金产品、汽车饰品、化妆品批发、零售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",福建,三明,"福建省沙县麻公岭1号4幢"
万厦(福建)建设投资有限公司宁德分公司,91350902MA32DMW76P,2019-01-02,N/A,柯阳峰,"N/A","对建设工程行业投资;房屋建筑、市政、水利水电、公路桥梁、港口与航道、土石方工程(不含爆破、开采)、装修装饰、园林古建筑、地基与基础、机场场道、建筑防水、园林绿化、钢结构、幕墙、智能化、消防设施、电子、通信、环保工程、城市与道路照明工程施工;房地产开发。(依法须经批准的项目,经相关部门批准后方可开展经营活动...",福建,宁德,"宁德市蕉城区霍童镇四见坪22号"
三明市三宏贸易有限公司,91350403MA32DQ9W5Q,2019-01-02,N/A,史泽发,"200万元人民币","建材批发;五金产品批发;电气设备批发;计算机、软件及辅助设备批发;其他金属及金属矿批发;其他机械设备及电子产品批发;网上贸易代理;产品销售代理;再生物资回收与批发。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",福建,三明,"福建省三明市三元区长安路21号17幢二层1号"
三明正元金控汽车服务有限公司,91350402MA32DQEK9R,2019-01-02,N/A,蒋凌云,"100万元人民币","汽车美容(车身清洁维护);汽车及配件批发;汽车零配件零售;专业停车场服务;停车场(库)信息系统服务;信息安全服务;信息技术咨询服务;其他未列明信息技术服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",福建,三明,"福建省三明市梅列区东新六路兴化商会1401"
